variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
fh_s09_r0,1,zayif,fast_hangar,-2,9.0,29.5,20.5,83,7.0,0.69,-7,-0.1,1.0,0.0,-0.2,-0.5,-0.6,-0.6,-0.2,0.0,-0.4,-0.1,-0.1,0.1,-0.2,38.2,12.5,22.9,39.4,75.6,14.5
fh_s09_r0,1,orta,fast_hangar,-90,0.0,0.0,0.0,120,5.5,1.0,30,-0.5,2.1,0.1,0.5,-0.6,-0.1,0,0.4,0.1,-0.2,0.0,-0.1,0.0,-0.2,41.7,22.5,37.4,48.6,77,15.2
fh_s09_r0,1,iyi,fast_hangar,-74,0.0,0.0,0.0,120,5.0,1.0,45,0.1,1.4,0.3,0.6,0.1,0.0,0,-0.2,0.0,0.4,-0.3,0.0,0.1,0.1,48.7,33.2,53.2,59.0,77,15.4
fh_s09_r0,2,zayif,fast_hangar,-53,2.2,24.8,22.5,87,10.6,0.45,-19,-0.2,1.2,-0.4,-0.2,-0.1,-0.1,0.0,0.0,0.1,-0.1,-0.1,-0.1,0.0,0.0,53.0,8.7,48.3,86.9,144.7,7.6
fh_s09_r0,2,orta,fast_hangar,-114,0.0,0.0,0.0,192,6.1,1.0,74,-0.6,3.3,-1.1,1.1,-0.8,0.0,0,1.0,0.0,0.0,-0.1,-0.1,0.0,0.1,56.8,22.7,82.8,113.4,151,12.6
fh_s09_r0,2,iyi,fast_hangar,-10,0.0,0.0,0.0,192,5.0,1.0,182,-0.8,3.5,-0.2,2.4,-0.7,0.0,0,0.8,0.0,-0.3,-0.4,0.1,0.0,-0.1,61.0,35.7,110.2,129.9,151,15.0
fh_s09_r0,3,zayif,fast_hangar,-15,0.0,54.8,54.8,26,13.5,0.1,18,-0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
fh_s09_r0,3,orta,fast_hangar,-142,0.0,0.0,0.0,252,6.8,1.0,102,-1.0,4.8,-1.4,1.3,-1.2,0.0,0,1.2,0.0,-0.9,-0.3,0.0,-0.1,-0.2,63.2,20.7,102.6,129.2,160,14.9
fh_s09_r0,3,iyi,fast_hangar,143,0.0,0.0,0.0,252,5.4,1.0,396,-0.7,4.4,-0.6,3.8,-1.0,0,0,0.9,0,0.5,0.0,0.1,0.1,-0.1,62.4,31.1,124.2,141.2,160,15.9
fh_s09_r0,4,zayif,fast_hangar,-13,0.0,67.5,67.5,31,15.5,0.1,15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
fh_s09_r0,4,orta,fast_hangar,-154,0.0,0.0,0.0,300,7.8,1.0,143,-0.4,5.8,-1.1,1.2,-0.3,0.0,0,0.4,0.0,-0.3,-0.5,-0.1,0.0,-0.1,64.8,14.9,106.2,130.0,160,15.8
fh_s09_r0,4,iyi,fast_hangar,233,0.0,0.0,0.0,300,6.2,1.0,539,-1.2,5.0,-0.5,4.4,-1.4,0,0,1.4,0,-0.2,-0.1,0.0,0.2,-0.1,61.8,25.0,129.8,140.9,160,16.0
fh_s09_r0_xd0,1,zayif,fast_hangar,2,9.0,29.5,20.5,83,7.0,0.69,-3,-0.1,1.1,-0.1,-0.1,-0.5,-0.7,-0.6,-0.2,0.0,-0.5,-0.1,-0.1,0.0,-0.1,38.2,12.5,22.9,39.4,75.6,14.5
fh_s09_r0_xd0,1,orta,fast_hangar,-90,0.0,0.0,0.0,120,5.5,1.0,38,-0.7,2.7,0.0,0.7,-0.9,-0.1,0,0.8,0.1,-0.9,0.1,-0.1,0.2,-0.2,41.7,22.5,37.4,48.6,77,15.2
fh_s09_r0_xd0,1,iyi,fast_hangar,-46,0.0,0.0,0.0,120,5.0,1.0,66,0.1,1.7,0.4,1.0,-0.1,0.0,0,0.1,0.0,0.3,-0.3,0.0,0.0,0.1,48.7,33.2,53.2,59.0,77,15.4
fh_s09_r0_xd0,2,zayif,fast_hangar,-45,1.0,23.5,22.5,87,10.6,0.45,8,-0.2,1.5,-0.3,0.1,-0.2,-0.1,0.0,0.0,0.1,-0.2,0.0,0.0,0.1,0.0,53.0,8.7,48.3,86.9,144.7,7.6
fh_s09_r0_xd0,2,orta,fast_hangar,21,0.0,0.0,0.0,192,6.1,1.0,221,-1.1,4.9,-0.7,2.9,-1.2,0.0,0,1.3,0.0,-0.2,-0.2,-0.1,0.2,0.1,56.8,22.7,82.8,113.4,151,12.6
fh_s09_r0_xd0,2,iyi,fast_hangar,178,0.0,0.0,0.0,192,5.0,1.0,373,-0.9,4.9,0.3,4.5,-0.7,0.0,0,0.7,0.0,0.5,-0.7,0.0,0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
