variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
live,2,orta,gambler_case,281,0.0,0.0,0.0,560,7.8,1.0,948,-0.2,0.1,0.1,0.3,-0.2,0.0,0,0.3,0.0,0.3,-0.2,0.0,0.0,0.0,56.8,22.7,82.8,113.4,151,12.6
live,2,iyi,fast_hangar,-76,0.0,0.0,0.0,192,5.0,1.0,117,-0.4,3.9,-1.3,1.6,-0.3,0.0,0,0.4,0.0,-0.3,-0.2,-0.1,0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,overtime,-204,0.0,0.0,0.0,192,2.4,1.0,-8,-1.6,0.6,0.4,0.5,-1.4,0.0,0,1.5,0.0,-0.9,-1.1,1.0,0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,prestige_master,61,0.0,0.0,0.0,600,5.1,1.0,660,20.5,0.1,0.1,0.3,-0.2,0.0,0,0.3,0.0,0.0,-0.1,0.1,-0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,null_fast_hangar,-188,0.0,0.0,0.0,192,5.0,1.0,4,-0.1,0.1,0.1,0.1,0.1,0.0,0,0.0,0.0,0.1,-0.2,0.1,-0.1,0.0,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,null_overtime,-202,0.0,0.0,0.0,192,2.4,1.0,-19,-0.5,0.1,0.1,0.0,-0.7,0.0,0,0.8,0.0,-1.0,0.2,0.1,-0.2,-0.3,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,null_prestige_master,-595,0.0,0.0,0.0,600,5.1,1.0,4,-0.3,0.1,0.1,0.3,-0.2,0.0,0,0.3,0.0,0.0,-0.1,0.1,-0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,extra_hangar,1214,0.0,0.0,0.0,320,3.0,1.0,1568,-7.2,34.7,-3.1,21.2,-7.8,0.0,0,7.8,0.0,-0.1,-1.9,-0.2,0.7,0.1,61.0,35.7,110.2,129.9,151,15.0
live,2,iyi,gambler_case,832,0.0,0.0,0.0,560,5.6,1.0,1443,-0.1,0.2,0.3,0.3,0.0,0.0,0,0.1,0.0,-0.1,-0.2,0.1,-0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
live,3,zayif,fast_hangar,-13,0.8,55.5,54.8,26,13.5,0.1,-7,-0.0,0.2,-0.1,-0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,-0.1,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,overtime,45,5.5,60.2,54.8,108,5.7,0.43,-111,-0.8,-1.1,-0.2,-1.2,-2.3,-3.8,-3.9,-0.9,-0.1,-2.7,-0.6,1.4,-0.1,-0.6,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,prestige_master,-15,0.0,54.8,54.8,21,14,0.04,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,null_fast_hangar,-14,0.0,54.8,54.8,26,13.5,0.1,10,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,null_overtime,33,5.8,60.5,54.8,108,5.7,0.43,-123,-0.8,-1.5,-0.1,-1.3,-2.5,-3.7,-3.7,-0.9,0.0,-2.7,-0.3,-0.2,-0.3,-0.3,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,null_prestige_master,-14,0.0,54.8,54.8,19,14,0.04,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,extra_hangar,15,-1.5,53.2,54.8,47,6.3,0.11,128,-0.3,4.8,0.0,1.5,0.0,0.5,0.5,0.7,0.0,-0.1,-0.1,0.0,0.2,0.1,58.3,5.8,51.2,97.2,137.0,7.3
live,3,zayif,gambler_case,-3,0.0,54.8,54.8,4,16,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
live,3,orta,fast_hangar,-562,0.0,0.0,0.0,252,6.8,1.0,-335,0.8,6.0,-3.2,-3.2,1.4,0.0,0,-1.3,0.0,-1.5,-0.9,0.0,-0.5,-0.4,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,overtime,-412,0.0,0.0,0.0,252,3.7,1.0,-174,-1.4,0.2,-0.6,-1.3,-1.2,0.0,0,1.4,0.0,-2.3,-1.2,0.8,-0.3,-0.1,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,prestige_master,-515,0.0,0.0,0.0,788,7.2,1.0,260,16.5,0.0,-0.3,-1.0,-0.2,0.0,0,0.2,0.0,-0.9,0.2,0.0,-0.3,0.0,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,null_fast_hangar,-307,0.0,0.0,0.0,252,6.8,1.0,-65,-0.2,0.1,-0.1,-0.5,-0.2,0.0,0,0.1,0.0,-0.7,-0.1,0.1,-0.3,-0.2,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,null_overtime,-294,0.0,0.0,0.0,252,3.7,1.0,-60,0.1,-0.1,-0.3,-0.6,0.0,0.0,0,0.2,0.0,-0.5,0.1,0.0,-0.3,-0.3,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,null_prestige_master,-894,0.0,0.0,0.0,788,7.2,1.0,-120,-0.1,0.0,-0.3,-1.1,-0.2,0.0,0,0.2,0.0,-0.9,0.2,0.0,-0.4,0.0,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,extra_hangar,935,0.0,0.0,0.0,420,4.5,1.0,1407,-6.3,43.9,-3.9,16.1,-6.8,0.0,0,6.9,0.0,-0.6,-1.4,-0.2,1.2,0.8,63.2,20.7,102.6,129.2,160,14.9
live,3,orta,gambler_case,343,0.0,0.0,0.0,735,8.6,1.0,1199,0.1,0.1,-0.1,-0.6,0.1,0.0,0,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.1,63.2,20.7,102.6,129.2,160,14.9
