variant,cell,loss%,final_mean,own_fast_hangar,own_overtime,own_prestige_master
OA_OC_OB,P3_orta_acgozlu,0.0,2941,0.54,0.43,0.64
OA_OC_OB,P3_orta_mantikli,0.3,3517,0.61,0.61,0.73
OA_OC_OB,P3_iyi_hic,0.0,7747,0,0,0
OA_OC_OB,P3_iyi_acgozlu,0.0,10129,0.98,0.97,0.99
OA_OC_OB,P3_iyi_mantikli,0.0,10927,0.99,1.0,1.0
OA_OC_OB,P4_zayif_hic,61.0,1420,0,0,0
OA_OC_OB,P4_zayif_acgozlu,2.7,988,0.25,0.01,0
OA_OC_OB,P4_zayif_mantikli,62.7,1381,0.02,0,0
OA_OC_OB,P4_orta_hic,0.0,4575,0,0,0
OA_OC_OB,P4_orta_acgozlu,0.0,3007,0.51,0.21,0.31
OA_OC_OB,P4_orta_mantikli,0.0,3415,0.44,0.38,0.45
OA_OC_OB,P4_iyi_hic,0.0,8558,0,0,0
OA_OC_OB,P4_iyi_acgozlu,0.0,8985,0.8,0.79,0.96
OA_OC_OB,P4_iyi_mantikli,0.0,10068,0.94,0.9,0.99
