variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
ot_g10,4,zayif,overtime,11,2.0,70.0,68.0,67,8.1,0.22,-32,-0.3,0.0,-0.1,-0.2,-0.6,-1.0,-1.0,-0.3,0.0,-0.5,-0.3,0.2,-0.1,-0.2,59.4,4.0,51,89.8,123.0,8.9
ot_g10,4,orta,overtime,169,0.3,0.3,0.0,300,4.0,1.0,452,-1.6,3.3,0.5,4.1,-1.1,-0.2,-0.2,0.9,0,3.5,-1.8,0.2,0.3,0.5,64.8,15.0,106.5,130.3,160,15.7
ot_g10,4,iyi,overtime,494,0.0,0.0,0.0,300,3.5,1.0,808,-0.9,3.3,1.0,6.5,-0.5,0,0,0.5,0,5.1,-1.5,0.0,0.4,0.5,61.7,24.9,129.8,141.0,160,16.0
ot_g15,1,zayif,overtime,23,4.0,23.0,19.0,120,1,1.0,111,0.7,2.0,1.1,1.8,0.2,-0.6,-1.4,-0.7,-0.8,2.3,0.3,0.7,0.5,0.1,38.4,12.6,23.1,39.7,75.8,14.6
ot_g15,1,orta,overtime,52,0.0,0.0,0.0,120,1,1.0,167,0.5,2.6,1.5,2.6,0.2,0.4,0,0.1,-0.4,2.1,0.2,0.4,0.3,0.1,41.6,22.4,37.3,48.5,77,15.2
ot_g15,1,iyi,overtime,-157,0.0,0.0,0.0,120,1,1.0,-24,-1.3,0.7,-0.1,0.2,-2.0,0.4,0,2.4,-0.4,-0.4,1.3,0.3,0.2,0.0,49.0,33.5,53.7,59.1,77,15.4
ot_g15,2,zayif,overtime,37,2.3,23.0,20.7,154,4.7,0.8,110,-0.0,1.2,0.3,1.6,-0.7,-1.9,-2.3,-0.6,-0.4,1.7,-0.2,2.9,0.3,0.4,53.3,8.9,48.9,87.4,145.6,7.7
ot_g15,2,orta,overtime,100,0.0,0.0,0.0,192,2.9,1.0,321,-2.1,2.8,0.9,4.9,-2.1,0.2,0,2.7,-0.2,4.3,-0.2,2.3,0.6,0.4,56.9,22.8,82.9,113.7,151,12.6
ot_g15,2,iyi,overtime,92,0.0,0.0,0.0,192,2.4,1.0,294,-2.1,3.3,1.3,4.3,-2.4,0.0,0,2.5,0.0,1.6,-0.1,0.8,0.2,-0.1,60.9,35.7,110.3,130.0,151,15.0
ot_g15,3,zayif,overtime,10,-2.7,52.7,55.3,111,5.6,0.44,199,-0.3,1.4,0.1,2.2,0.3,0.4,0.3,0.5,-0.1,2.3,-0.4,1.4,0.5,0.5,57.9,5.7,50.7,96.4,136.1,7.2
ot_g15,3,orta,overtime,162,0.0,0.0,0.0,252,3.7,1.0,421,-1.7,2.9,0.5,4.8,-1.5,0.0,0,2.0,0.0,3.7,-0.7,0.6,0.1,0.5,63.3,20.7,102.7,129.2,160,15.0
ot_g15,3,iyi,overtime,436,0.0,0.0,0.0,252,3.2,1.0,682,-2.0,3.6,1.0,7.0,-2.2,0,0,2.1,0,3.6,-1.1,0.1,-0.1,0.0,62.4,31.1,123.7,141.2,160,15.9
ot_g15,4,zayif,overtime,-64,-3.7,64.3,68.0,67,8.1,0.22,204,0.3,1.4,0.1,1.8,1.2,1.5,1.5,0.2,0.0,2.4,0.0,0.3,0.3,0.3,59.4,4.0,51,89.8,123.0,8.9
ot_g15,4,orta,overtime,457,0.0,0.0,0.0,300,4.0,1.0,765,-1.7,4.7,0.9,6.6,-1.5,0,0,1.2,0,5.5,-1.5,0.2,0.3,0.9,64.8,15.0,106.5,130.3,160,15.7
ot_g15,4,iyi,overtime,873,0.0,0.0,0.0,300,3.5,1.0,1187,-1.5,5.2,1.9,9.5,-1.1,0,0,1.0,0,7.4,-1.6,0.0,0.4,0.5,61.7,24.9,129.8,141.0,160,16.0
ot_g20,1,zayif,overtime,33,2.7,21.7,19.0,120,1,1.0,133,0.7,2.8,1.5,2.1,0.0,-0.6,-1.3,-0.5,-0.7,2.6,0.4,0.5,0.5,0.1,38.4,12.6,23.1,39.7,75.8,14.6
ot_g20,1,orta,overtime,85,0.0,0.0,0.0,120,1,1.0,210,0.6,3.5,1.8,3.3,0.4,0.4,0,-0.1,-0.4,2.4,0.4,0.3,0.4,0.1,41.6,22.4,37.3,48.5,77,15.2
ot_g20,1,iyi,overtime,-17,0.0,0.0,0.0,120,1,1.0,107,-0.9,2.3,1.2,2.1,-1.8,0.4,0,2.2,-0.4,1.1,1.3,0.2,0.2,0.0,49.0,33.5,53.7,59.1,77,15.4
ot_g20,2,zayif,overtime,70,4.0,24.7,20.7,154,4.7,0.8,126,0.0,1.2,0.5,1.8,-0.8,-2.3,-2.7,-1.1,-0.4,1.9,-0.2,2.3,0.4,0.4,53.3,8.9,48.9,87.4,145.6,7.7
ot_g20,2,orta,overtime,176,0.0,0.0,0.0,192,2.9,1.0,391,-1.6,3.5,1.1,5.7,-1.7,0.2,0,2.2,-0.2,5.0,0.0,2.1,0.5,0.7,56.9,22.8,82.9,113.7,151,12.6
ot_g20,2,iyi,overtime,220,0.0,0.0,0.0,192,2.4,1.0,417,-2.1,4.1,1.8,5.9,-2.8,0.0,0,2.9,0.0,3.0,0.3,0.7,0.2,0.0,60.9,35.7,110.3,130.0,151,15.0
ot_g20,3,zayif,overtime,37,-1.3,54.0,55.3,111,5.6,0.44,180,-0.4,1.2,0.1,2.0,-0.2,-0.3,-0.3,0.4,-0.1,1.9,-0.4,1.0,0.5,0.5,57.9,5.7,50.7,96.4,136.1,7.2
ot_g20,3,orta,overtime,205,0.0,0.0,0.0,252,3.7,1.0,460,-1.9,3.9,0.5,5.3,-2.1,0.0,0,2.6,0.0,3.7,-0.2,0.4,-0.1,0.8,63.3,20.7,102.7,129.2,160,15.0
ot_g20,3,iyi,overtime,672,0.0,0.0,0.0,252,3.2,1.0,931,-2.2,4.9,1.4,9.4,-2.4,0,0,2.3,0,5.5,-0.9,0.1,0.3,0.2,62.4,31.1,123.7,141.2,160,15.9
ot_g20,4,zayif,overtime,-27,-3.3,64.7,68.0,67,8.1,0.22,247,0.1,1.7,0.1,2.2,1.1,1.8,1.8,0.6,0.0,2.6,0.0,0.2,0.4,0.2,59.4,4.0,51,89.8,123.0,8.9
ot_g20,4,orta,overtime,695,0.0,0.0,0.0,300,4.0,1.0,1027,-1.9,5.9,1.1,8.9,-1.7,0,0,1.5,0,7.7,-1.5,0.2,0.8,0.9,64.8,15.0,106.5,130.3,160,15.7
ot_g20,4,iyi,overtime,976,0.0,0.0,0.0,300,3.5,1.0,1294,-2.0,6.7,1.7,10.6,-1.9,0,0,1.9,0,7.6,-1.3,0.0,0.4,0.4,61.7,24.9,129.8,141.0,160,16.0
ot_g15_nomult,1,zayif,overtime,11,9.7,28.7,19.0,120,1,1.0,34,0.3,-0.1,0.2,0.6,-0.9,-2.3,-2.3,-1.1,0.0,0.8,0.2,-2.1,0.2,-0.1,38.4,12.6,23.1,39.7,75.8,14.6
ot_g15_nomult,1,orta,overtime,43,0.0,0.0,0.0,120,1,1.0,155,0.6,2.0,1.3,2.3,0.4,-0.1,0,-0.6,0.1,2.1,-0.1,-1.4,0.1,0.0,41.6,22.4,37.3,48.5,77,15.2
ot_g15_nomult,1,iyi,overtime,-83,0.0,0.0,0.0,120,1,1.0,30,-0.1,1.0,0.4,0.5,-0.8,0.0,0,0.8,0.0,0.3,0.7,-0.8,0.1,0.1,49.0,33.5,53.7,59.1,77,15.4
ot_g15_nomult,2,zayif,overtime,10,11.0,31.7,20.7,154,4.7,0.8,-120,-0.2,-1.5,-0.1,-1.7,-2.9,-4.9,-4.9,-2.1,0.0,-2.3,0.1,-2.2,-0.3,-0.8,53.3,8.9,48.9,87.4,145.6,7.7
ot_g15_nomult,2,orta,overtime,-100,0.0,0.0,0.0,192,2.9,1.0,103,-0.2,0.6,0.2,1.5,-0.4,0.0,0,0.5,0.0,2.2,0.5,-2.7,0.1,0.5,56.9,22.8,82.9,113.7,151,12.6
ot_g15_nomult,2,iyi,overtime,18,0.0,0.0,0.0,192,2.4,1.0,207,-0.5,2.0,0.9,2.8,-1.1,0.0,0,1.0,0.0,1.9,0.8,-1.4,-0.1,0.0,60.9,35.7,110.3,130.0,151,15.0
ot_g15_nomult,3,zayif,overtime,26,4.3,59.7,55.3,111,5.6,0.44,-71,-0.6,-1.1,-0.2,-0.7,-2.0,-3.0,-3.0,-0.6,0.0,-1.6,-0.4,-1.0,-0.1,-0.2,57.9,5.7,50.7,96.4,136.1,7.2
ot_g15_nomult,3,orta,overtime,-49,0.0,0.0,0.0,252,3.7,1.0,207,-0.1,1.6,0.4,2.2,-0.6,0.0,0,0.9,0.0,3.1,0.9,-1.8,0.1,0.3,63.3,20.7,102.7,129.2,160,15.0
ot_g15_nomult,3,iyi,overtime,540,0.0,0.0,0.0,252,3.2,1.0,803,-0.6,3.6,1.4,7.7,-0.8,0,0,0.8,0,5.5,0.1,-0.2,0.4,0.0,62.4,31.1,123.7,141.2,160,15.9
ot_g15_nomult,4,zayif,overtime,-3,1.0,69.0,68.0,67,8.1,0.22,30,-0.0,0.1,0.0,0.3,-0.1,-0.1,-0.2,-0.2,0.0,0.6,-0.1,-0.5,0.2,-0.1,59.4,4.0,51,89.8,123.0,8.9
ot_g15_nomult,4,orta,overtime,374,0.0,0.0,0.0,300,4.0,1.0,707,-0.4,3.8,0.8,5.9,-0.4,0.0,0,0.1,0.0,6.8,0.0,-0.5,0.7,0.9,64.8,15.0,106.5,130.3,160,15.7
ot_g15_nomult,4,iyi,overtime,723,0.0,0.0,0.0,300,3.5,1.0,1041,-0.4,4.9,1.7,8.1,-0.5,0,0,0.4,0,7.2,0.2,-0.1,0.5,0.4,61.7,24.9,129.8,141.0,160,16.0
pm_03,1,zayif,prestige_master,-7,11.0,30.0,19.0,117,7.5,0.56,9,3.8,-0.3,-0.2,-0.3,-0.4,-0.6,-0.6,-0.1,0.0,-0.5,0.0,-0.2,0.0,0.0,38.4,12.6,23.1,39.7,75.8,14.6
pm_03,1,orta,prestige_master,-204,0.3,0.3,0.0,368,5.9,1.0,156,16.0,0.2,0.1,0.1,-0.1,-0.1,0,0.1,0.1,0.0,-0.3,0.0,0.0,-0.3,41.6,22.4,37.3,48.5,77,15.2
pm_03,1,iyi,prestige_master,-68,0.0,0.0,0.0,375,5.1,1.0,301,24.8,-0.4,-0.4,-0.8,-0.3,0.0,0,0.3,0.0,-0.3,0.0,0.0,0.0,0.1,49.0,33.5,53.7,59.1,77,15.4
pm_03,2,zayif,prestige_master,-68,0.3,21.0,20.7,102,11.0,0.3,14,2.7,0.0,-0.1,-0.2,0.0,0.0,0.0,-0.2,0.1,0.1,-0.1,0.0,0.1,0.1,53.3,8.9,48.9,87.4,145.6,7.7
pm_03,2,orta,prestige_master,291,0.0,0.0,0.0,600,6.3,1.0,886,39.5,-0.1,-0.1,0.6,-0.1,0.0,0,0.2,0.0,0.4,-0.2,0.0,-0.2,0.1,56.9,22.8,82.9,113.7,151,12.6
pm_03,2,iyi,prestige_master,664,0.0,0.0,0.0,600,5.1,1.0,1268,22.6,0.2,0.1,0.1,-0.4,0.0,0,0.3,0.0,-0.2,-0.1,0.1,0.0,-0.2,60.9,35.7,110.3,130.0,151,15.0
pm_03,3,zayif,prestige_master,-15,0.0,55.3,55.3,19,14.2,0.04,4,0.2,0.0,-0.1,0.0,0.1,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,57.9,5.7,50.7,96.4,136.1,7.2
pm_03,3,orta,prestige_master,-60,0.0,0.0,0.0,788,7.1,1.0,714,27.2,-0.1,-0.4,-1.3,-0.3,0.0,0,0.4,0.0,-1.2,0.3,0.0,-0.5,0.0,63.3,20.7,102.7,129.2,160,15.0
pm_03,3,iyi,prestige_master,280,0.0,0.0,0.0,788,5.6,1.0,1065,8.6,0.0,-0.2,0.4,-0.1,0,0,0.1,0,0.1,0.1,0.0,0.0,0.0,62.4,31.1,123.7,141.2,160,15.9
pm_03,4,zayif,prestige_master,-38,0.0,68.0,68.0,50,15.8,0.09,10,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,59.4,4.0,51,89.8,123.0,8.9
pm_03,4,orta,prestige_master,-357,0.0,0.0,0.0,936,8.3,1.0,577,19.9,0.0,-0.1,-0.4,-0.4,0.0,0,0.4,0.0,-0.8,0.0,0.1,0.0,0.0,64.8,15.0,106.5,130.3,160,15.7
pm_03,4,iyi,prestige_master,-75,0.0,0.0,0.0,938,6.4,1.0,870,4.0,0.2,0.2,0.1,0.1,0,0,-0.2,0,0.0,-0.1,0.0,0.2,0.1,61.7,24.9,129.8,141.0,160,16.0
pm_05,1,zayif,prestige_master,-4,10.0,29.0,19.0,119,7.5,0.56,23,6.4,-0.3,-0.2,-0.4,-0.4,-0.6,-0.6,-0.1,0.0,-0.5,0.0,-0.2,0.0,0.0,38.4,12.6,23.1,39.7,75.8,14.6
pm_05,1,orta,prestige_master,-99,0.3,0.3,0.0,370,5.9,1.0,262,26.9,0.2,0.2,0.1,-0.1,-0.1,0,0.1,0.1,0.1,-0.3,0.0,0.0,-0.3,41.6,22.4,37.3,48.5,77,15.2
pm_05,1,iyi,prestige_master,172,0.0,0.0,0.0,375,5.1,1.0,541,41.4,-0.4,-0.4,-0.8,-0.3,0.0,0,0.3,0.0,-0.3,0.0,0.0,0.0,0.1,49.0,33.5,53.7,59.1,77,15.4
pm_05,2,zayif,prestige_master,-61,0.3,21.0,20.7,112,11.0,0.3,34,4.7,0.0,-0.1,-0.2,0.1,0.0,0.0,-0.2,0.1,0.0,-0.1,0.0,0.1,0.1,53.3,8.9,48.9,87.4,145.6,7.7
pm_05,2,orta,prestige_master,695,0.0,0.0,0.0,600,6.3,1.0,1291,44.3,-0.1,0.0,0.7,0.0,0.0,0,0.1,0.0,0.5,-0.2,0.0,-0.2,0.1,56.9,22.8,82.9,113.7,151,12.6
pm_05,2,iyi,prestige_master,975,0.0,0.0,0.0,600,5.1,1.0,1579,22.6,0.2,0.1,0.1,-0.4,0.0,0,0.3,0.0,-0.2,-0.1,0.1,0.0,-0.2,60.9,35.7,110.3,130.0,151,15.0
pm_05,3,zayif,prestige_master,-14,0.0,55.3,55.3,19,14.2,0.04,6,0.4,0.0,-0.1,0.0,0.1,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,57.9,5.7,50.7,96.4,136.1,7.2
pm_05,3,orta,prestige_master,208,0.0,0.0,0.0,788,7.1,1.0,981,27.6,-0.1,-0.4,-1.3,-0.3,0.0,0,0.4,0.0,-1.2,0.3,0.0,-0.5,0.0,63.3,20.7,102.7,129.2,160,15.0
pm_05,3,iyi,prestige_master,501,0.0,0.0,0.0,788,5.6,1.0,1286,8.6,0.0,-0.2,0.4,-0.1,0,0,0.1,0,0.1,0.1,0.0,0.0,0.0,62.4,31.1,123.7,141.2,160,15.9
pm_05,4,zayif,prestige_master,-38,0.0,68.0,68.0,50,15.8,0.09,10,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,59.4,4.0,51,89.8,123.0,8.9
pm_05,4,orta,prestige_master,-125,0.0,0.0,0.0,936,8.3,1.0,810,21.0,0.1,0.0,-0.2,-0.4,0.0,0,0.4,0.0,-0.7,0.0,0.1,0.0,0.0,64.8,15.0,106.5,130.3,160,15.7
pm_05,4,iyi,prestige_master,114,0.0,0.0,0.0,938,6.4,1.0,1059,4.0,0.2,0.2,0.1,0.1,0,0,-0.2,0,0.0,-0.1,0.0,0.2,0.1,61.7,24.9,129.8,141.0,160,16.0
