variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
prop_ev,2,orta,fast_hangar,-98,0.0,0.0,0.0,189,6.0,1.0,87,-1.3,4.6,-1.6,1.4,-1.8,0.0,0.0,2.0,0.0,-2.1,0.4,-0.1,-0.1,0.2,56.6,22.6,83.2,113.3,152.9,11.9
prop_ev,2,orta,overtime,57,0.0,0.0,0.0,192,3.0,1.0,261,-1.1,2.6,0.7,3.8,-1.1,1.0,0.0,2.7,-1.1,3.5,0.6,2.0,0.3,0.3,56.6,22.6,83.2,113.3,152.9,11.9
prop_ev,2,orta,prestige_master,289,0.0,0.0,0.0,592,6.3,1.0,877,43.0,-0.2,-0.2,-1.0,-0.4,0.1,0.0,0.8,-0.1,-0.9,0.4,-0.1,-0.2,-0.3,56.6,22.6,83.2,113.3,152.9,11.9
prop_ev,2,iyi,fast_hangar,56,0.0,0.0,0.0,189,5.0,1.0,250,-0.9,4.7,-0.5,3.3,-1.1,0.1,0.0,1.2,0.0,-0.4,-0.2,0.0,0.2,0.0,60.9,35.9,110.5,130.2,152.9,14.2
prop_ev,2,iyi,overtime,17,0.0,0.0,0.0,192,2.5,1.0,225,-1.8,3.2,1.2,3.5,-2.2,0.6,0.0,2.7,-0.6,1.7,0.4,0.7,0.4,0.1,60.9,35.9,110.5,130.2,152.9,14.2
prop_ev,2,iyi,prestige_master,747,0.0,0.0,0.0,588,5.0,1.0,1341,22.9,-0.2,-0.1,-0.5,-0.1,0.0,0.0,0.1,0.0,-0.2,0.0,0.0,0.2,0.0,60.9,35.9,110.5,130.2,152.9,14.2
prop_ev,3,zayif,fast_hangar,-14,-0.3,45.0,45.3,50,12.2,0.2,40,-0.2,0.7,0.0,0.5,-0.3,0.0,0.0,0.1,0.0,-0.1,0.0,0.0,0.0,0.1,60.3,6.1,53.7,100.0,143.4,6.8
prop_ev,3,zayif,overtime,-6,-0.7,44.7,45.3,108,5.9,0.43,115,-0.4,0.8,0.1,1.3,-0.6,-0.5,-0.9,0.4,-0.5,0.8,0.0,1.1,0.1,0.4,60.3,6.1,53.7,100.0,143.4,6.8
prop_ev,3,zayif,prestige_master,-36,0.0,45.3,45.3,52,13.5,0.1,12,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.1,60.3,6.1,53.7,100.0,143.4,6.8
prop_ev,3,orta,fast_hangar,8,0.0,0.0,0.0,248,6.7,1.0,264,-1.4,6.8,-1.7,2.9,-1.5,-0.2,0.0,1.4,0.1,-0.7,-0.3,-0.1,0.1,0.0,63.0,20.6,102.0,129.1,161.9,14.1
