variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
fh_live,1,zayif,fast_hangar,3,11.5,30.5,19.0,85,6.9,0.7,-13,-0.2,1.9,-0.3,-0.2,-0.6,-0.5,-0.5,0.2,0.0,-0.5,0.0,-0.1,0.1,-0.1,38.4,12.7,23.1,39.7,75.7,14.6
fh_live,1,orta,fast_hangar,-105,0.0,0.0,0.0,119,5.6,0.99,27,-0.7,2.8,-0.1,0.5,-0.7,-0.1,0,0.7,0.1,-0.8,-0.1,0.0,0.3,0.1,41.5,22.3,37.1,48.5,77,15.2
fh_live,1,iyi,fast_hangar,-73,0.0,0.0,0.0,120,5.0,1.0,42,0.3,2.4,-0.1,0.6,0.1,0.0,0,-0.2,0.0,0.6,-0.3,-0.1,0.2,0.3,48.9,33.4,53.4,59.0,77,15.4
fh_live,2,zayif,fast_hangar,-59,4.5,28.5,24.0,83,10.5,0.43,-90,0.5,1.8,-0.8,-1.4,0.6,0.0,0.0,-0.8,0.0,-0.8,-0.1,-0.1,-0.3,-0.1,53.2,8.9,48.5,86.9,145.2,7.7
fh_live,2,orta,fast_hangar,-62,0.0,0.0,0.0,192,6.0,1.0,119,-0.8,4.5,-1.6,1.7,-0.7,0.0,0,1.0,0.0,-0.4,-0.1,0.0,-0.5,0.0,56.8,22.6,82.8,113.4,151,12.6
fh_live,2,iyi,fast_hangar,-77,0.0,0.0,0.0,192,5.0,1.0,115,-0.8,3.9,-1.6,1.8,-1.0,0.0,0,0.9,0.0,-0.3,-0.2,-0.1,0.1,-0.1,61.0,35.9,110.2,129.9,151,15.0
fh_live,3,zayif,fast_hangar,-7,1.0,55.0,54.0,24,14.1,0.1,-8,-0.1,0.2,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,58.1,5.7,50.8,96.7,136.4,7.2
fh_live,3,orta,fast_hangar,-534,0.0,0.0,0.0,252,6.9,1.0,-312,0.9,5.9,-3.2,-3.1,1.5,0.0,0,-1.4,0.0,-1.3,-1.0,0.0,-0.7,-0.8,63.2,20.5,102.2,129.3,160,14.9
fh_live,3,iyi,fast_hangar,-34,0.0,0.0,0.0,252,5.4,1.0,216,-0.2,4.0,-1.2,2.0,-0.6,0,0,0.4,0,0.1,0.0,0.1,0.2,-0.4,62.3,31.1,123.5,141.0,160,15.9
fh_live,4,zayif,fast_hangar,-21,0.0,64.5,64.5,34,15.4,0.12,13,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.1,0.0,0.0,60.2,4.1,52.2,90.8,124.5,9.0
