variant,cell,loss%,final_mean,final_p10,day1_money,day1_income,income_total,rent_total,upg_total,cards,deaths
G100x+C,P1_iyi_secici,0.0,2572,1768,462,53,4945,1400,1294,6.8,{}
G100x+C,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
G100x+C,P2_zayif_acgozlu,2.0,350,113,464,33,3395,2822,449,3.3,"{'bankrupt@16': 5, 'bankrupt@12': 1}"
G100x+C,P2_zayif_mantikli,3.3,352,106,464,33,3368,2746,498,3.3,"{'bankrupt@16': 9, 'bankrupt@12': 1}"
G100x+C,P2_zayif_secici,1.7,426,143,464,33,3397,2801,391,2.3,{'bankrupt@16': 5}
G100x+C,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
G100x+C,P2_orta_acgozlu,0.0,1325,691,524,95,7137,3347,2941,16.9,{}
G100x+C,P2_orta_mantikli,0.0,1526,739,524,95,7476,3337,3079,17.1,{}
G100x+C,P2_orta_secici,0.0,2981,1849,524,95,8044,3376,1875,6.0,{}
G100x+C,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
G100x+C,P2_iyi_acgozlu,0.0,6271,4106,584,150,13461,3053,4929,23.7,{}
G100x+C,P2_iyi_mantikli,0.0,6574,4354,584,150,13800,3074,4930,23.7,{}
G100x+C,P2_iyi_secici,0.0,8165,6659,584,150,13410,3099,2376,6.8,{}
G100x+C,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
G100x+C,P3_zayif_acgozlu,2.7,676,201,571,86,5518,4470,682,3.3,"{'bankrupt@16': 6, 'bankrupt@12': 2}"
G100x+C,P3_zayif_mantikli,57.0,941,217,796,86,4354,3630,184,1.3,"{'bankrupt@12': 139, 'bankrupt@16': 20, 'bankrupt@8': 12}"
G100x+C,P3_zayif_secici,56.0,957,217,796,86,4410,3694,153,0.9,"{'bankrupt@12': 134, 'bankrupt@16': 22, 'bankrupt@8': 12}"
G100x+C,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
G100x+C,P3_orta_acgozlu,0.0,2040,1166,637,150,10844,5936,3454,14.6,{}
G100x+C,P3_orta_mantikli,0.3,2391,1222,862,150,11536,5877,3840,16.0,{'bankrupt@12': 1}
G100x+C,P3_orta_secici,0.0,4071,2328,862,150,12209,6006,2406,5.6,{}
G100x+C,P3_iyi_hic,0.0,7747,6381,926,210,12860,6120,0,0,{}
G100x+C,P3_iyi_acgozlu,0.0,6784,4248,701,210,17773,5513,6442,22.8,{}
G100x+C,P3_iyi_mantikli,0.0,7519,4787,926,210,18700,5531,6583,23.0,{}
G100x+C,P3_iyi_secici,0.0,9726,7722,926,210,18207,5514,3274,6.8,{}
G100x+C,P4_zayif_hic,61.0,1420,339,937,83,5713,4818,0,0,"{'bankrupt@12': 136, 'bankrupt@16': 16, 'bankrupt@8': 31}"
G100x+C,P4_zayif_acgozlu,3.3,946,408,667,83,7729,6140,1049,4.0,"{'bankrupt@16': 7, 'bankrupt@12': 3}"
G100x+C,P4_zayif_mantikli,63.0,1407,353,937,83,5670,4668,130,0.6,"{'bankrupt@12': 142, 'bankrupt@16': 14, 'bankrupt@8': 33}"
G100x+C,P4_zayif_secici,63.0,1417,364,937,83,5653,4662,106,0.5,"{'bankrupt@12': 143, 'bankrupt@16': 13, 'bankrupt@8': 33}"
G100x+C,P4_orta_hic,0.0,4575,3126,1095,243,12533,8742,0,0,{}
G100x+C,P4_orta_acgozlu,0.0,2111,1181,825,243,13042,8601,3101,11.4,{}
G100x+C,P4_orta_mantikli,0.0,2386,1226,1095,243,13732,8509,3596,13.1,{}
G100x+C,P4_orta_secici,0.0,3813,1855,1095,243,14344,8656,2416,4.9,{}
G100x+C,P4_iyi_hic,0.0,8558,6937,1091,230,16136,8750,0,0,{}
G100x+C,P4_iyi_acgozlu,0.0,6224,3601,821,230,19773,8180,6525,19.9,{}
G100x+C,P4_iyi_mantikli,0.0,7495,4675,1091,230,21677,8129,7198,21.7,{}
G100x+C,P4_iyi_secici,0.0,10221,7791,1091,230,21478,8169,3617,6.5,{}
C_only,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
C_only,P1_zayif_acgozlu,100.0,220,116,219,23,829,122,838,12.0,"{'bankrupt@12': 291, 'bankrupt@16': 9}"
C_only,P1_zayif_mantikli,91.7,314,223,219,23,971,318,681,8.9,"{'bankrupt@12': 204, 'bankrupt@16': 71}"
C_only,P1_zayif_secici,17.0,203,43,429,23,1460,1043,447,3.7,"{'bankrupt@12': 12, 'bankrupt@16': 39}"
C_only,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
C_only,P1_orta_acgozlu,54.3,272,82,235,38,2385,584,1930,19.7,"{'bankrupt@12': 123, 'bankrupt@16': 40}"
C_only,P1_orta_mantikli,14.3,289,63,235,38,2679,1073,1715,17.7,"{'bankrupt@16': 15, 'bankrupt@12': 28}"
C_only,P1_orta_secici,0.0,687,216,445,38,3003,1460,1036,5.9,{}
C_only,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
C_only,P1_iyi_acgozlu,8.7,1687,332,244,46,4686,931,2705,23.4,"{'bankrupt@12': 25, 'bankrupt@16': 1}"
C_only,P1_iyi_mantikli,0.7,1504,466,244,46,4831,1292,2662,23.1,{'bankrupt@12': 2}
C_only,P1_iyi_secici,0.0,2565,1718,454,46,4993,1375,1322,6.9,{}
C_only,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
C_only,P2_zayif_acgozlu,100.0,547,381,355,32,2161,291,1687,12.8,"{'bankrupt@12': 298, 'bankrupt@16': 2}"
C_only,P2_zayif_mantikli,93.0,620,425,517,32,1657,716,737,6.2,"{'bankrupt@8': 203, 'bankrupt@12': 65, 'bankrupt@16': 11}"
C_only,P2_zayif_secici,21.0,525,82,463,32,3438,2223,869,4.0,"{'bankrupt@12': 28, 'bankrupt@16': 35}"
C_only,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
C_only,P2_orta_acgozlu,14.7,2044,542,411,89,8114,1845,4651,22.9,{'bankrupt@12': 44}
