P,profile,card,buyDay,cost,gain_total,gain_per_day,payback_days,d_final,d_loss_pp,base_day_income
4,orta,emergency_brake,1,225,-31,-2.1,,-256,0.0,786
4,orta,all_in,9,800,1276,182.3,4.4,477,0.0,786
4,orta,bulk_buy,1,75,-35,-2.3,,-109,0.0,786
4,iyi,wide_storage,1,150,78,5.2,29.0,-70,0.0,1003
4,iyi,packing_station,1,375,644,42.9,8.7,270,0.0,1003
4,iyi,extra_hangar,1,500,2510,167.4,3.0,2006,0.0,1003
4,iyi,quest_tier,1,90,114,7.6,11.8,61,0.0,1003
4,iyi,cheap_rent,9,637,837,119.6,5.3,200,0.0,1003
4,iyi,prestige_broker,9,425,617,88.1,4.8,191,0.0,1003
4,iyi,prestige_master,5,938,581,52.8,17.8,-357,0.0,1003
4,iyi,fast_hangar,5,300,17,1.5,196.5,-284,0.0,1003
4,iyi,energetic_crew,1,138,-108,-7.2,,-242,0.0,1003
4,iyi,agile_crew,1,275,47,3.1,88.2,-227,0.0,1003
4,iyi,patient_customers,1,150,-216,-14.4,,-363,0.0,1003
4,iyi,gambler_case,5,875,2478,225.3,3.9,1603,0.0,1003
4,iyi,phone_line,1,150,86,5.8,26.0,-63,0.0,1003
4,iyi,overtime,1,300,56,3.8,79.7,-242,0.0,1003
4,iyi,leveraged_rent,9,750,1202,171.8,4.4,452,0.0,1003
4,iyi,high_volatility,5,800,1858,168.9,4.7,1059,0.0,1003
4,iyi,emergency_brake,1,225,80,5.3,42.4,-143,0.0,1003
4,iyi,all_in,9,800,1588,226.9,3.5,787,0.0,1003
4,iyi,bulk_buy,1,75,78,5.2,14.5,5,0.0,1003
