cell,runs,deathRate,bankruptRate,prestigeDeathRate,finalMoney_mean,finalMoney_p10,finalMoney_p90,finalPrestige_mean,income_total,rent_total,upgrades_total,reroll_total,penalties_total,deaths
P3_zayif_mantikli_noev,300,0.980,0.980,0.000,1078,806,1363,33.1,2478,927,964,0,267,"{""bankrupt@12"": 70, ""bankrupt@8"": 220, ""bankrupt@16"": 4}"
P3_orta_hic_ev,300,0.000,0.000,0.000,4475,3459,5572,71.4,9982,6120,0,0,451,{}
P3_orta_hic_noev,300,0.000,0.000,0.000,4414,3367,5492,71.9,10020,6120,0,0,459,{}
P3_orta_acgozlu_ev,300,0.130,0.130,0.000,5677,1393,8331,76.4,13801,2930,5666,0,577,"{""bankrupt@12"": 39}"
P3_orta_acgozlu_noev,300,0.137,0.137,0.000,5111,1254,7812,75.4,13341,2937,5712,0,552,"{""bankrupt@12"": 41}"
P3_orta_mantikli_ev,300,0.070,0.070,0.000,3425,1384,5553,71.7,12890,4802,5160,0,565,"{""bankrupt@12"": 8, ""bankrupt@8"": 13}"
P3_orta_mantikli_noev,300,0.050,0.050,0.000,3237,1369,5323,71.9,12797,4945,5043,0,543,"{""bankrupt@8"": 14, ""bankrupt@12"": 1}"
P3_iyi_hic_ev,300,0.000,0.000,0.000,7747,6381,9138,91.7,12860,6120,0,0,188,{}
P3_iyi_hic_noev,300,0.000,0.000,0.000,7600,6326,8898,91.3,12809,6120,0,0,186,{}
P3_iyi_acgozlu_ev,300,0.000,0.000,0.000,12304,9468,15085,98.7,21257,4151,5723,0,275,{}
P3_iyi_acgozlu_noev,300,0.000,0.000,0.000,11556,8708,14585,98.4,20618,4106,5802,0,269,{}
P3_iyi_mantikli_ev,300,0.000,0.000,0.000,10717,7862,13362,95.9,20744,5095,5844,0,282,{}
P3_iyi_mantikli_noev,300,0.000,0.000,0.000,10013,7321,12640,95.5,20211,5161,5873,0,275,{}
P4_zayif_hic_ev,300,0.610,0.610,0.000,1420,339,2233,44.0,5713,4818,0,0,509,"{""bankrupt@12"": 136, ""bankrupt@16"": 16, ""bankrupt@8"": 31}"
P4_zayif_hic_noev,300,0.680,0.680,0.000,1515,461,2267,43.6,5415,4355,0,0,474,"{""bankrupt@16"": 16, ""bankrupt@12"": 143, ""bankrupt@8"": 45}"
P4_zayif_acgozlu_ev,300,0.993,0.993,0.000,1341,912,1806,41.2,4993,725,3499,0,445,"{""bankrupt@12"": 298}"
P4_zayif_acgozlu_noev,300,0.990,0.990,0.000,1326,916,1748,41.3,4932,750,3350,0,434,"{""bankrupt@12"": 295, ""bankrupt@16"": 2}"
P4_zayif_mantikli_ev,300,0.963,0.963,0.000,1493,1178,1879,35.7,3238,1423,1001,0,293,"{""bankrupt@8"": 248, ""bankrupt@12"": 39, ""bankrupt@16"": 2}"
P4_zayif_mantikli_noev,300,0.987,0.987,0.000,1496,1154,1884,35.2,3046,1308,864,0,278,"{""bankrupt@8"": 249, ""bankrupt@12"": 45, ""bankrupt@16"": 2}"
P4_orta_hic_ev,300,0.000,0.000,0.000,4575,3126,6038,78.1,12533,8742,0,0,466,{}
P4_orta_hic_noev,300,0.000,0.000,0.000,4451,3166,5700,78.4,12541,8745,0,0,460,{}
P4_orta_acgozlu_ev,300,0.167,0.167,0.000,7150,1558,10637,83.4,17225,3960,6741,0,608,"{""bankrupt@12"": 50}"
P4_orta_acgozlu_noev,300,0.217,0.217,0.000,6545,1479,10368,81.6,16459,3763,6727,0,539,"{""bankrupt@12"": 65}"
P4_orta_mantikli_ev,300,0.093,0.093,0.000,4097,1666,6779,77.9,15885,6670,5780,0,582,"{""bankrupt@8"": 17, ""bankrupt@12"": 11}"
P4_orta_mantikli_noev,300,0.117,0.117,0.000,3753,1395,6760,76.7,15170,6356,5625,0,555,"{""bankrupt@8"": 20, ""bankrupt@12"": 15}"
P4_iyi_hic_ev,300,0.000,0.000,0.000,8558,6937,10135,96.3,16136,8750,0,0,203,{}
P4_iyi_hic_noev,300,0.000,0.000,0.000,8364,6956,9834,95.9,16053,8750,0,0,184,{}
P4_iyi_acgozlu_ev,300,0.000,0.000,0.000,14506,10790,18632,99.5,25857,5631,6818,0,280,{}
P4_iyi_acgozlu_noev,300,0.000,0.000,0.000,13772,10375,17219,99.5,25213,5633,6812,0,266,{}
P4_iyi_mantikli_ev,300,0.000,0.000,0.000,11682,8352,15183,98.1,24886,7301,7001,0,294,{}
P4_iyi_mantikli_noev,300,0.000,0.000,0.000,10673,7498,13774,97.6,24076,7350,7035,0,281,{}
