cell,runs,deathRate,bankruptRate,prestigeDeathRate,finalMoney_mean,finalMoney_p10,finalMoney_p90,finalPrestige_mean,income_total,rent_total,upgrades_total,reroll_total,penalties_total,deaths
P4_zayif_acgozlu_ev,30,0.033,0.033,0.000,1088,330,2293,46.7,7503,5895,884,0,694,"{""bankrupt@12"": 1}"
P4_zayif_acgozlu_noev,30,0.033,0.033,0.000,875,289,1400,48.8,7770,6231,927,0,691,"{""bankrupt@16"": 1}"
P4_zayif_mantikli_ev,30,0.800,0.800,0.000,1573,317,2242,42.8,4902,3789,95,0,458,"{""bankrupt@12"": 20, ""bankrupt@16"": 1, ""bankrupt@8"": 3}"
P4_zayif_mantikli_noev,30,0.767,0.767,0.000,1556,387,2322,43.9,5149,3919,147,0,458,"{""bankrupt@12"": 14, ""bankrupt@8"": 6, ""bankrupt@16"": 3}"
P4_orta_hic_ev,30,0.000,0.000,0.000,4260,2977,5770,78.7,12228,8750,0,0,482,{}
P4_orta_hic_noev,30,0.000,0.000,0.000,4360,3046,5550,78.6,12453,8750,0,0,467,{}
P4_orta_acgozlu_ev,30,0.000,0.000,0.000,3024,1436,4626,83.5,14133,8493,3325,0,533,{}
P4_orta_acgozlu_noev,30,0.000,0.000,0.000,2678,1747,3825,81.7,13554,8493,3004,0,503,{}
P4_orta_mantikli_ev,30,0.000,0.000,0.000,3316,1833,4776,85.0,14505,8534,3339,0,543,{}
P4_orta_mantikli_noev,30,0.000,0.000,0.000,2995,1812,4547,85.6,14120,8541,3188,0,528,{}
P4_iyi_hic_ev,30,0.000,0.000,0.000,8625,7175,10166,97.0,16248,8750,0,0,221,{}
P4_iyi_hic_noev,30,0.000,0.000,0.000,8496,6712,10336,95.2,16191,8750,0,0,179,{}
P4_iyi_acgozlu_ev,30,0.000,0.000,0.000,8654,6239,11771,99.6,21716,8087,6098,0,234,{}
P4_iyi_acgozlu_noev,30,0.000,0.000,0.000,7791,5519,10496,99.9,20596,8042,5793,0,216,{}
P4_iyi_mantikli_ev,30,0.000,0.000,0.000,9978,7200,13436,99.9,23489,7874,6708,0,294,{}
P4_iyi_mantikli_noev,30,0.000,0.000,0.000,9359,6157,11884,98.7,22812,7903,6540,0,267,{}
