group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
iyi,3,1.5,2.0,41319,0,0.0,0.0,9e-05
iyi,3,2.0,3.0,16977,0,0.0,0.0,0.00023
iyi,3,3.0,inf,3931,0,0.0,0.0,0.00098
iyi,5,0,0.25,420,0,0.0,0.0,0.00906
iyi,5,0.25,0.5,2321,0,0.0,0.0,0.00165
iyi,5,0.5,0.75,12455,0,0.0,0.0,0.00031
iyi,5,0.75,1.0,29288,0,0.0,0.0,0.00013
iyi,5,1.0,1.25,27814,0,0.0,0.0,0.00014
iyi,5,1.25,1.5,18197,0,0.0,0.0,0.00021
iyi,5,1.5,2.0,14674,0,0.0,0.0,0.00026
iyi,5,2.0,3.0,14067,0,0.0,0.0,0.00027
iyi,5,3.0,inf,764,0,0.0,0.0,0.005
iyi,8,0,0.25,12849,0,0.0,0.0,0.0003
iyi,8,0.25,0.5,33347,0,0.0,0.0,0.00012
iyi,8,0.5,0.75,23909,0,0.0,0.0,0.00016
iyi,8,0.75,1.0,12331,0,0.0,0.0,0.00031
iyi,8,1.0,1.25,8113,0,0.0,0.0,0.00047
iyi,8,1.25,1.5,6306,0,0.0,0.0,0.00061
iyi,8,1.5,2.0,10277,0,0.0,0.0,0.00037
iyi,8,2.0,3.0,12499,0,0.0,0.0,0.00031
iyi,8,3.0,inf,369,0,0.0,0.0,0.0103
iyi,12,0,0.25,1075,0,0.0,0.0,0.00356
iyi,12,0.25,0.5,4983,0,0.0,0.0,0.00077
iyi,12,0.5,0.75,11008,0,0.0,0.0,0.00035
iyi,12,0.75,1.0,14293,0,0.0,0.0,0.00027
iyi,12,1.0,1.25,13882,0,0.0,0.0,0.00028
iyi,12,1.25,1.5,12524,0,0.0,0.0,0.00031
iyi,12,1.5,2.0,20789,0,0.0,0.0,0.00018
iyi,12,2.0,3.0,25315,0,0.0,0.0,0.00015
iyi,12,3.0,inf,16131,0,0.0,0.0,0.00024
orta,3,0.25,0.5,5,0,0.0,0.0,0.43449
orta,3,0.5,0.75,84,0,0.0,0.0,0.04373
orta,3,0.75,1.0,3045,1,0.00033,6e-05,0.00186
orta,3,1.0,1.25,34754,0,0.0,0.0,0.00011
orta,3,1.25,1.5,46017,2,4e-05,1e-05,0.00016
orta,3,1.5,2.0,24781,0,0.0,0.0,0.00015
orta,3,2.0,3.0,10528,2,0.00019,5e-05,0.00069
orta,3,3.0,inf,786,0,0.0,0.0,0.00486
orta,5,0,0.25,2125,1,0.00047,8e-05,0.00266
orta,5,0.25,0.5,16189,2,0.00012,3e-05,0.00045
orta,5,0.5,0.75,40011,0,0.0,0.0,0.0001
orta,5,0.75,1.0,28938,0,0.0,0.0,0.00013
orta,5,1.0,1.25,13915,0,0.0,0.0,0.00028
orta,5,1.25,1.5,7461,1,0.00013,2e-05,0.00076
orta,5,1.5,2.0,8066,1,0.00012,2e-05,0.0007
orta,5,2.0,3.0,3280,0,0.0,0.0,0.00117
orta,5,3.0,inf,15,0,0.0,0.0,0.20389
orta,8,0,0.25,40795,1,2e-05,0.0,0.00014
orta,8,0.25,0.5,38670,2,5e-05,1e-05,0.00019
orta,8,0.5,0.75,15021,2,0.00013,4e-05,0.00049
orta,8,0.75,1.0,9161,0,0.0,0.0,0.00042
orta,8,1.0,1.25,6781,0,0.0,0.0,0.00057
orta,8,1.25,1.5,4742,0,0.0,0.0,0.00081
orta,8,1.5,2.0,4121,0,0.0,0.0,0.00093
orta,8,2.0,3.0,709,0,0.0,0.0,0.00539
orta,12,0,0.25,11403,2,0.00018,5e-05,0.00064
orta,12,0.25,0.5,34802,1,3e-05,1e-05,0.00016
orta,12,0.5,0.75,29523,0,0.0,0.0,0.00013
orta,12,0.75,1.0,15129,0,0.0,0.0,0.00025
orta,12,1.0,1.25,9212,0,0.0,0.0,0.00042
orta,12,1.25,1.5,7151,0,0.0,0.0,0.00054
orta,12,1.5,2.0,9338,0,0.0,0.0,0.00041
orta,12,2.0,3.0,3417,0,0.0,0.0,0.00112
orta,12,3.0,inf,23,0,0.0,0.0,0.14312
zayif,3,0,0.25,3,0,0.0,0.0,0.56151
zayif,3,0.25,0.5,152,22,0.14474,0.09756,0.20942
zayif,3,0.5,0.75,6069,1719,0.28324,0.27205,0.29471
zayif,3,0.75,1.0,34174,11432,0.33452,0.32954,0.33954
zayif,3,1.0,1.25,50184,12749,0.25405,0.25026,0.25787
zayif,3,1.25,1.5,16196,2656,0.16399,0.15837,0.16977
zayif,3,1.5,2.0,6976,1348,0.19323,0.18414,0.20267
zayif,3,2.0,3.0,6246,875,0.14009,0.1317,0.14892
zayif,5,0,0.25,26232,7564,0.28835,0.2829,0.29386
zayif,5,0.25,0.5,57683,17105,0.29653,0.29282,0.30028
zayif,5,0.5,0.75,21523,4225,0.1963,0.19105,0.20166
zayif,5,0.75,1.0,6365,944,0.14831,0.13979,0.15725
zayif,5,1.0,1.25,3781,587,0.15525,0.14406,0.16714
zayif,5,1.25,1.5,2737,294,0.10742,0.09636,0.11957
zayif,5,1.5,2.0,1645,82,0.04985,0.04034,0.06145
zayif,5,2.0,3.0,34,0,0.0,0.0,0.10152
zayif,8,0,0.25,94462,25099,0.2657,0.2629,0.26853
zayif,8,0.25,0.5,10615,1541,0.14517,0.1386,0.152
zayif,8,0.5,0.75,8308,995,0.11976,0.11296,0.12692
zayif,8,0.75,1.0,3054,213,0.06974,0.06124,0.07933
zayif,8,1.0,1.25,500,0,0.0,0.0,0.00762
zayif,8,1.25,1.5,94,0,0.0,0.0,0.03926
zayif,8,1.5,2.0,14,0,0.0,0.0,0.21532
zayif,12,0,0.25,61051,6652,0.10896,0.10651,0.11145
zayif,12,0.25,0.5,13461,622,0.04621,0.04279,0.04989
zayif,12,0.5,0.75,15568,399,0.02563,0.02326,0.02823
zayif,12,0.75,1.0,6730,101,0.01501,0.01237,0.0182
zayif,12,1.0,1.25,132,0,0.0,0.0,0.02828
zayif,12,1.25,1.5,29,0,0.0,0.0,0.11697
zayif,12,1.5,2.0,2,0,0.0,0.0,0.65763
