variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
livecal,3,iyi,acgozlu,on,12,10000,0,0.5739,nan,1.211
livecal,3,iyi,hic,on,3,10000,0,0.0565,nan,1.738
livecal,3,iyi,hic,on,5,10000,0,0.1664,nan,1.515
livecal,3,iyi,hic,on,8,10000,0,0.384,nan,1.442
livecal,3,iyi,hic,on,12,10000,0,0.6889,nan,2.183
livecal,3,iyi,mantikli,on,3,10000,0,-0.0051,nan,1.446
livecal,3,iyi,mantikli,on,5,10000,0,0.3576,nan,1.038
livecal,3,iyi,mantikli,on,8,10000,0,0.2283,nan,0.461
livecal,3,iyi,mantikli,on,12,10000,0,0.6124,nan,1.404
livecal,3,orta,acgozlu,on,3,10000,0,0.1353,nan,1.243
livecal,3,orta,acgozlu,on,5,10000,0,0.19,nan,0.651
livecal,3,orta,acgozlu,on,8,10000,0,0.1934,nan,0.271
livecal,3,orta,acgozlu,on,12,10000,0,0.3797,nan,0.49
livecal,3,orta,hic,on,3,10000,0,0.1483,nan,1.446
livecal,3,orta,hic,on,5,10000,0,0.2742,nan,1.04
livecal,3,orta,hic,on,8,10000,0,0.4636,nan,0.794
livecal,3,orta,hic,on,12,10000,0,0.7433,nan,1.155
livecal,3,orta,mantikli,on,3,10000,1,0.0997,0.5759,1.333
livecal,3,orta,mantikli,on,5,10000,1,0.2638,0.4924,0.704
livecal,3,orta,mantikli,on,8,10000,1,0.228,0.7686,0.258
livecal,3,orta,mantikli,on,12,9999,0,0.4222,nan,0.52
livecal,3,zayif,acgozlu,on,3,10000,219,0.0508,0.7964,0.904
livecal,3,zayif,acgozlu,on,5,10000,219,-0.0109,0.5726,0.325
livecal,3,zayif,acgozlu,on,8,10000,219,-0.1514,0.1327,0.132
livecal,3,zayif,acgozlu,on,12,9938,157,0.067,0.7291,0.241
livecal,3,zayif,hic,on,3,10000,5025,0.1953,0.6523,1.075
livecal,3,zayif,hic,on,5,10000,5025,0.2762,0.7111,0.433
livecal,3,zayif,hic,on,8,9652,4677,0.179,0.5447,0.136
livecal,3,zayif,hic,on,12,6008,1033,0.365,0.6059,0.127
livecal,3,zayif,mantikli,on,3,10000,5723,0.1909,0.5979,1.066
livecal,3,zayif,mantikli,on,5,10000,5723,0.1899,0.6315,0.342
livecal,3,zayif,mantikli,on,8,9553,5276,0.0046,0.4789,0.127
livecal,3,zayif,mantikli,on,12,5155,878,0.2354,0.6269,0.122
livecal,4,iyi,acgozlu,on,3,10000,0,0.1085,nan,1.318
livecal,4,iyi,acgozlu,on,5,10000,0,0.2145,nan,0.788
livecal,4,iyi,acgozlu,on,8,10000,0,0.344,nan,0.349
livecal,4,iyi,acgozlu,on,12,10000,0,0.5721,nan,0.843
livecal,4,iyi,hic,on,3,10000,0,0.0547,nan,1.485
livecal,4,iyi,hic,on,5,10000,0,0.1647,nan,1.195
livecal,4,iyi,hic,on,8,10000,0,0.4219,nan,1.014
livecal,4,iyi,hic,on,12,10000,0,0.7169,nan,1.615
livecal,4,iyi,mantikli,on,3,10000,0,0.022,nan,1.396
livecal,4,iyi,mantikli,on,5,10000,0,0.2848,nan,0.872
livecal,4,iyi,mantikli,on,8,10000,0,0.338,nan,0.363
livecal,4,iyi,mantikli,on,12,10000,0,0.5686,nan,0.953
livecal,4,orta,acgozlu,on,3,10000,0,0.1032,nan,1.163
livecal,4,orta,acgozlu,on,5,10000,0,0.2018,nan,0.573
livecal,4,orta,acgozlu,on,8,10000,0,0.2199,nan,0.204
livecal,4,orta,acgozlu,on,12,10000,0,0.4183,nan,0.381
livecal,4,orta,hic,on,3,10000,3,0.159,0.6783,1.313
livecal,4,orta,hic,on,5,10000,3,0.2832,0.9906,0.855
livecal,4,orta,hic,on,8,10000,3,0.4521,0.9757,0.53
livecal,4,orta,hic,on,12,9997,0,0.7262,nan,0.786
livecal,4,orta,mantikli,on,3,10000,2,0.0942,0.8823,1.268
livecal,4,orta,mantikli,on,5,10000,2,0.2855,0.9336,0.604
livecal,4,orta,mantikli,on,8,9999,1,0.2339,0.575,0.186
livecal,4,orta,mantikli,on,12,9998,0,0.4344,nan,0.403
livecal,4,zayif,acgozlu,on,3,10000,294,0.1151,0.739,0.793
livecal,4,zayif,acgozlu,on,5,10000,294,-0.0234,0.5495,0.31
livecal,4,zayif,acgozlu,on,8,10000,294,-0.1836,0.2311,0.141
livecal,4,zayif,acgozlu,on,12,9894,188,0.2583,0.767,0.263
livecal,4,zayif,hic,on,3,10000,6260,0.1992,0.6475,0.933
livecal,4,zayif,hic,on,5,10000,6260,0.2367,0.6644,0.357
livecal,4,zayif,hic,on,8,8810,5070,0.0366,0.48,0.125
livecal,4,zayif,hic,on,12,4288,548,0.3881,0.6614,0.119
livecal,4,zayif,mantikli,on,3,10000,6504,0.1886,0.622,0.933
livecal,4,zayif,mantikli,on,5,10000,6504,0.1809,0.616,0.33
livecal,4,zayif,mantikli,on,8,8780,5284,-0.0645,0.4651,0.122
livecal,4,zayif,mantikli,on,12,4011,515,0.2772,0.6693,0.114
