variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_slow,2,zayif,mantikli,on,12,9413,1886,-0.18,0.7682,0.467
sens_slow,3,iyi,acgozlu,on,3,10000,0,0.2015,nan,1.387
sens_slow,3,iyi,acgozlu,on,5,10000,0,0.2713,nan,0.868
sens_slow,3,iyi,acgozlu,on,8,10000,0,0.3993,nan,0.449
sens_slow,3,iyi,acgozlu,on,12,10000,0,0.5561,nan,0.998
sens_slow,3,iyi,hic,on,3,10000,0,0.0731,nan,1.65
sens_slow,3,iyi,hic,on,5,10000,0,0.1868,nan,1.416
sens_slow,3,iyi,hic,on,8,10000,0,0.4123,nan,1.326
sens_slow,3,iyi,hic,on,12,10000,0,0.7116,nan,1.939
sens_slow,3,iyi,mantikli,on,3,10000,0,0.0216,nan,1.424
sens_slow,3,iyi,mantikli,on,5,10000,0,0.3473,nan,0.969
sens_slow,3,iyi,mantikli,on,8,10000,0,0.2909,nan,0.444
sens_slow,3,iyi,mantikli,on,12,10000,0,0.5685,nan,1.139
sens_slow,3,orta,acgozlu,on,3,10000,0,0.1947,nan,1.132
sens_slow,3,orta,acgozlu,on,5,10000,0,0.1691,nan,0.55
sens_slow,3,orta,acgozlu,on,8,10000,0,0.2145,nan,0.194
sens_slow,3,orta,acgozlu,on,12,10000,0,0.4184,nan,0.329
sens_slow,3,orta,hic,on,3,10000,6,0.1566,0.6816,1.303
sens_slow,3,orta,hic,on,5,10000,6,0.2944,0.8517,0.829
sens_slow,3,orta,hic,on,8,10000,6,0.4924,0.9381,0.49
sens_slow,3,orta,hic,on,12,9994,0,0.7572,nan,0.652
sens_slow,3,orta,mantikli,on,3,10000,15,0.1917,0.7255,1.246
sens_slow,3,orta,mantikli,on,5,10000,15,0.2484,0.7917,0.564
sens_slow,3,orta,mantikli,on,8,9998,13,0.1862,0.6737,0.189
sens_slow,3,orta,mantikli,on,12,9985,0,0.4615,nan,0.365
sens_slow,3,zayif,acgozlu,on,3,10000,3770,0.3278,0.6927,0.773
sens_slow,3,zayif,acgozlu,on,5,10000,3770,-0.0249,0.4756,0.281
sens_slow,3,zayif,acgozlu,on,8,10000,3770,-0.4919,0.2675,0.445
sens_slow,3,zayif,acgozlu,on,12,8659,2429,0.3828,0.843,0.225
sens_slow,3,zayif,hic,on,3,10000,9564,0.1042,0.6969,0.934
sens_slow,3,zayif,hic,on,5,10000,9564,0.1523,0.7362,0.305
sens_slow,3,zayif,hic,on,8,7747,7311,0.0075,0.4351,0.114
sens_slow,3,zayif,hic,on,12,1086,650,0.1591,0.5679,0.101
sens_slow,3,zayif,mantikli,on,3,10000,9643,0.0875,0.6614,0.934
sens_slow,3,zayif,mantikli,on,5,10000,9643,0.116,0.6907,0.28
sens_slow,3,zayif,mantikli,on,8,7642,7285,-0.0816,0.3586,0.111
sens_slow,3,zayif,mantikli,on,12,912,555,0.1948,0.5965,0.096
sens_slow,4,iyi,acgozlu,on,3,10000,0,0.1228,nan,1.318
sens_slow,4,iyi,acgozlu,on,5,10000,0,0.2614,nan,0.777
sens_slow,4,iyi,acgozlu,on,8,10000,0,0.3376,nan,0.334
sens_slow,4,iyi,acgozlu,on,12,10000,0,0.5333,nan,0.736
sens_slow,4,iyi,hic,on,3,10000,0,0.1,nan,1.506
sens_slow,4,iyi,hic,on,5,10000,0,0.2112,nan,1.181
sens_slow,4,iyi,hic,on,8,10000,0,0.4369,nan,0.983
sens_slow,4,iyi,hic,on,12,10000,0,0.7172,nan,1.47
sens_slow,4,iyi,mantikli,on,3,10000,0,0.0357,nan,1.394
sens_slow,4,iyi,mantikli,on,5,10000,0,0.2865,nan,0.858
sens_slow,4,iyi,mantikli,on,8,10000,0,0.3742,nan,0.343
sens_slow,4,iyi,mantikli,on,12,10000,0,0.5202,nan,0.837
sens_slow,4,orta,acgozlu,on,3,10000,0,0.1662,nan,1.017
sens_slow,4,orta,acgozlu,on,5,10000,0,0.1492,nan,0.465
sens_slow,4,orta,acgozlu,on,8,10000,0,0.2356,nan,0.153
