group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
P3,8,0.75,1.0,4062,313,0.07706,0.06925,0.08566
P3,8,1.0,1.25,3168,0,0.0,0.0,0.00121
P3,8,1.25,1.5,3755,0,0.0,0.0,0.00102
P3,8,1.5,2.0,2406,0,0.0,0.0,0.00159
P3,8,2.0,3.0,33,0,0.0,0.0,0.10427
P3,12,0,0.25,12443,3453,0.27751,0.26971,0.28544
P3,12,0.25,0.5,15922,162,0.01017,0.00873,0.01186
P3,12,0.5,0.75,12258,19,0.00155,0.00099,0.00242
P3,12,0.75,1.0,7791,0,0.0,0.0,0.00049
P3,12,1.0,1.25,5209,0,0.0,0.0,0.00074
P3,12,1.25,1.5,4097,0,0.0,0.0,0.00094
P3,12,1.5,2.0,7593,0,0.0,0.0,0.00051
P3,12,2.0,3.0,5264,0,0.0,0.0,0.00073
P3,12,3.0,inf,59,0,0.0,0.0,0.06113
P4,3,0.25,0.5,549,257,0.46812,0.42675,0.50994
P4,3,0.5,0.75,11968,7880,0.65842,0.64988,0.66687
P4,3,0.75,1.0,22818,13629,0.59729,0.59091,0.60364
P4,3,1.0,1.25,24419,1449,0.05934,0.05644,0.06237
P4,3,1.25,1.5,22465,18,0.0008,0.00051,0.00127
P4,3,1.5,2.0,7781,0,0.0,0.0,0.00049
P4,5,0,0.25,13339,9866,0.73964,0.73212,0.74701
P4,5,0.25,0.5,29417,12748,0.43335,0.4277,0.43903
P4,5,0.5,0.75,20582,617,0.02998,0.02773,0.0324
P4,5,0.75,1.0,15380,2,0.00013,4e-05,0.00047
P4,5,1.0,1.25,7869,0,0.0,0.0,0.00049
P4,5,1.25,1.5,3217,0,0.0,0.0,0.00119
P4,5,1.5,2.0,196,0,0.0,0.0,0.01922
P4,8,0,0.25,40416,11289,0.27932,0.27497,0.28372
P4,8,0.25,0.5,21493,1655,0.077,0.07351,0.08064
P4,8,0.5,0.75,9958,1675,0.16821,0.16099,0.17568
P4,8,0.75,1.0,4924,114,0.02315,0.01931,0.02774
P4,8,1.0,1.25,3631,0,0.0,0.0,0.00106
P4,8,1.25,1.5,993,0,0.0,0.0,0.00385
P4,8,1.5,2.0,85,0,0.0,0.0,0.04324
P4,12,0,0.25,21311,2485,0.11661,0.11237,0.12098
P4,12,0.25,0.5,16010,54,0.00337,0.00259,0.0044
P4,12,0.5,0.75,10351,3,0.00029,0.0001,0.00085
P4,12,0.75,1.0,6626,0,0.0,0.0,0.00058
P4,12,1.0,1.25,5011,0,0.0,0.0,0.00077
P4,12,1.25,1.5,4624,0,0.0,0.0,0.00083
P4,12,1.5,2.0,4933,0,0.0,0.0,0.00078
P4,12,2.0,3.0,441,0,0.0,0.0,0.00864
P4,12,3.0,inf,2,0,0.0,0.0,0.65763
iyi,3,0.5,0.75,1,0,0.0,0.0,0.79346
iyi,3,0.75,1.0,315,0,0.0,0.0,0.01205
iyi,3,1.0,1.25,14510,0,0.0,0.0,0.00026
iyi,3,1.25,1.5,47264,0,0.0,0.0,8e-05
iyi,3,1.5,2.0,42038,0,0.0,0.0,9e-05
iyi,3,2.0,3.0,14630,0,0.0,0.0,0.00026
iyi,3,3.0,inf,1242,0,0.0,0.0,0.00308
iyi,5,0,0.25,486,0,0.0,0.0,0.00784
iyi,5,0.25,0.5,3066,0,0.0,0.0,0.00125
iyi,5,0.5,0.75,16728,0,0.0,0.0,0.00023
iyi,5,0.75,1.0,35372,0,0.0,0.0,0.00011
iyi,5,1.0,1.25,26988,0,0.0,0.0,0.00014
iyi,5,1.25,1.5,14653,0,0.0,0.0,0.00026
iyi,5,1.5,2.0,15060,0,0.0,0.0,0.00026
iyi,5,2.0,3.0,7565,0,0.0,0.0,0.00051
iyi,5,3.0,inf,82,0,0.0,0.0,0.04475
iyi,8,0,0.25,15124,0,0.0,0.0,0.00025
iyi,8,0.25,0.5,36335,0,0.0,0.0,0.00011
iyi,8,0.5,0.75,22084,0,0.0,0.0,0.00017
iyi,8,0.75,1.0,11585,0,0.0,0.0,0.00033
iyi,8,1.0,1.25,9179,0,0.0,0.0,0.00042
iyi,8,1.25,1.5,8019,0,0.0,0.0,0.00048
iyi,8,1.5,2.0,12591,0,0.0,0.0,0.00031
iyi,8,2.0,3.0,5060,0,0.0,0.0,0.00076
iyi,8,3.0,inf,23,0,0.0,0.0,0.14312
iyi,12,0,0.25,1788,0,0.0,0.0,0.00214
iyi,12,0.25,0.5,8820,0,0.0,0.0,0.00044
iyi,12,0.5,0.75,17453,0,0.0,0.0,0.00022
iyi,12,0.75,1.0,19126,0,0.0,0.0,0.0002
