group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
P2,8,0.25,0.5,22310,12,0.00054,0.00031,0.00094
P2,8,0.5,0.75,15202,3,0.0002,7e-05,0.00058
P2,8,0.75,1.0,7803,5,0.00064,0.00027,0.0015
P2,8,1.0,1.25,4211,0,0.0,0.0,0.00091
P2,8,1.25,1.5,3548,0,0.0,0.0,0.00108
P2,8,1.5,2.0,4992,0,0.0,0.0,0.00077
P2,8,2.0,3.0,8799,0,0.0,0.0,0.00044
P2,8,3.0,inf,489,0,0.0,0.0,0.00779
P2,12,0,0.25,14447,28,0.00194,0.00134,0.0028
P2,12,0.25,0.5,11916,5,0.00042,0.00018,0.00098
P2,12,0.5,0.75,9433,1,0.00011,2e-05,0.0006
P2,12,0.75,1.0,7803,1,0.00013,2e-05,0.00073
P2,12,1.0,1.25,4559,0,0.0,0.0,0.00084
P2,12,1.25,1.5,3058,0,0.0,0.0,0.00125
P2,12,1.5,2.0,6219,0,0.0,0.0,0.00062
P2,12,2.0,3.0,12745,0,0.0,0.0,0.0003
P2,12,3.0,inf,19684,0,0.0,0.0,0.0002
P3,3,0.25,0.5,4,0,0.0,0.0,0.4899
P3,3,0.5,0.75,588,30,0.05102,0.03597,0.0719
P3,3,0.75,1.0,7010,425,0.06063,0.05528,0.06646
P3,3,1.0,1.25,24285,973,0.04007,0.03767,0.04261
P3,3,1.25,1.5,31665,192,0.00606,0.00527,0.00698
P3,3,1.5,2.0,25156,2,8e-05,2e-05,0.00029
P3,3,2.0,3.0,1292,0,0.0,0.0,0.00296
P3,5,0,0.25,2683,248,0.09243,0.08205,0.10398
P3,5,0.25,0.5,15979,1030,0.06446,0.06076,0.06837
P3,5,0.5,0.75,19959,339,0.01698,0.01528,0.01887
P3,5,0.75,1.0,20980,5,0.00024,0.0001,0.00056
P3,5,1.0,1.25,15347,0,0.0,0.0,0.00025
P3,5,1.25,1.5,7857,0,0.0,0.0,0.00049
P3,5,1.5,2.0,7051,0,0.0,0.0,0.00054
P3,5,2.0,3.0,144,0,0.0,0.0,0.02598
P3,8,0,0.25,33544,1436,0.04281,0.04069,0.04503
P3,8,0.25,0.5,24040,7,0.00029,0.00014,0.0006
P3,8,0.5,0.75,11860,1,8e-05,1e-05,0.00048
P3,8,0.75,1.0,6187,0,0.0,0.0,0.00062
P3,8,1.0,1.25,4886,0,0.0,0.0,0.00079
P3,8,1.25,1.5,4538,0,0.0,0.0,0.00085
P3,8,1.5,2.0,4533,0,0.0,0.0,0.00085
P3,8,2.0,3.0,234,0,0.0,0.0,0.01615
P3,12,0,0.25,17241,68,0.00394,0.00311,0.005
P3,12,0.25,0.5,14519,1,7e-05,1e-05,0.00039
P3,12,0.5,0.75,10725,0,0.0,0.0,0.00036
P3,12,0.75,1.0,8128,0,0.0,0.0,0.00047
P3,12,1.0,1.25,6877,0,0.0,0.0,0.00056
P3,12,1.25,1.5,6715,0,0.0,0.0,0.00057
P3,12,1.5,2.0,10987,0,0.0,0.0,0.00035
P3,12,2.0,3.0,12206,0,0.0,0.0,0.00031
P3,12,3.0,inf,1049,0,0.0,0.0,0.00365
P4,3,0.25,0.5,25,0,0.0,0.0,0.1332
P4,3,0.5,0.75,1949,263,0.13494,0.12049,0.15083
P4,3,0.75,1.0,13862,1816,0.13101,0.12549,0.13672
P4,3,1.0,1.25,29457,1628,0.05527,0.05272,0.05793
P4,3,1.25,1.5,33751,104,0.00308,0.00254,0.00373
P4,3,1.5,2.0,10956,0,0.0,0.0,0.00035
P4,5,0,0.25,4559,774,0.16977,0.15915,0.18095
P4,5,0.25,0.5,21308,2550,0.11967,0.11538,0.1241
P4,5,0.5,0.75,25037,484,0.01933,0.0177,0.02111
P4,5,0.75,1.0,22743,3,0.00013,4e-05,0.00039
P4,5,1.0,1.25,11739,0,0.0,0.0,0.00033
P4,5,1.25,1.5,4180,0,0.0,0.0,0.00092
P4,5,1.5,2.0,434,0,0.0,0.0,0.00877
P4,8,0,0.25,43644,3167,0.07256,0.07017,0.07504
P4,8,0.25,0.5,22869,11,0.00048,0.00027,0.00086
P4,8,0.5,0.75,9944,2,0.0002,6e-05,0.00073
P4,8,0.75,1.0,6986,0,0.0,0.0,0.00055
P4,8,1.0,1.25,4343,0,0.0,0.0,0.00088
P4,8,1.25,1.5,1447,0,0.0,0.0,0.00265
P4,8,1.5,2.0,136,0,0.0,0.0,0.02747
P4,12,0,0.25,19850,131,0.0066,0.00556,0.00783
P4,12,0.25,0.5,16952,1,6e-05,1e-05,0.00033
P4,12,0.5,0.75,14071,0,0.0,0.0,0.00027
P4,12,0.75,1.0,10626,0,0.0,0.0,0.00036
P4,12,1.0,1.25,8301,0,0.0,0.0,0.00046
P4,12,1.25,1.5,6610,0,0.0,0.0,0.00058
P4,12,1.5,2.0,8046,0,0.0,0.0,0.00048
P4,12,2.0,3.0,1851,0,0.0,0.0,0.00207
P4,12,3.0,inf,14,0,0.0,0.0,0.21532
iyi,3,0.5,0.75,3,0,0.0,0.0,0.56151
iyi,3,0.75,1.0,316,0,0.0,0.0,0.01201
iyi,3,1.0,1.25,13129,0,0.0,0.0,0.00029
iyi,3,1.25,1.5,38805,0,0.0,0.0,0.0001
iyi,3,1.5,2.0,45116,0,0.0,0.0,9e-05
iyi,3,2.0,3.0,16445,0,0.0,0.0,0.00023
iyi,3,3.0,inf,6186,0,0.0,0.0,0.00062
iyi,5,0,0.25,230,0,0.0,0.0,0.01643
iyi,5,0.25,0.5,1585,0,0.0,0.0,0.00242
iyi,5,0.5,0.75,10358,0,0.0,0.0,0.00037
iyi,5,0.75,1.0,25525,0,0.0,0.0,0.00015
iyi,5,1.0,1.25,26812,0,0.0,0.0,0.00014
iyi,5,1.25,1.5,20397,0,0.0,0.0,0.00019
iyi,5,1.5,2.0,16824,0,0.0,0.0,0.00023
iyi,5,2.0,3.0,15008,0,0.0,0.0,0.00026
iyi,5,3.0,inf,3261,0,0.0,0.0,0.00118
iyi,8,0,0.25,12017,0,0.0,0.0,0.00032
iyi,8,0.25,0.5,31933,0,0.0,0.0,0.00012
iyi,8,0.5,0.75,24172,0,0.0,0.0,0.00016
iyi,8,0.75,1.0,13282,0,0.0,0.0,0.00029
iyi,8,1.0,1.25,8076,0,0.0,0.0,0.00048
iyi,8,1.25,1.5,5744,0,0.0,0.0,0.00067
iyi,8,1.5,2.0,6858,0,0.0,0.0,0.00056
iyi,8,2.0,3.0,15144,0,0.0,0.0,0.00025
iyi,8,3.0,inf,2774,0,0.0,0.0,0.00138
iyi,12,0,0.25,653,0,0.0,0.0,0.00585
iyi,12,0.25,0.5,3698,0,0.0,0.0,0.00104
iyi,12,0.5,0.75,8924,0,0.0,0.0,0.00043
iyi,12,0.75,1.0,11974,0,0.0,0.0,0.00032
iyi,12,1.0,1.25,12676,0,0.0,0.0,0.0003
iyi,12,1.25,1.5,11657,0,0.0,0.0,0.00033
iyi,12,1.5,2.0,19276,0,0.0,0.0,0.0002
iyi,12,2.0,3.0,22498,0,0.0,0.0,0.00017
iyi,12,3.0,inf,28644,0,0.0,0.0,0.00013
orta,3,0.5,0.75,35,0,0.0,0.0,0.0989
orta,3,0.75,1.0,1971,0,0.0,0.0,0.00195
orta,3,1.0,1.25,26451,0,0.0,0.0,0.00015
orta,3,1.25,1.5,48572,0,0.0,0.0,8e-05
orta,3,1.5,2.0,30237,1,3e-05,1e-05,0.00019
orta,3,2.0,3.0,11937,0,0.0,0.0,0.00032
orta,3,3.0,inf,797,0,0.0,0.0,0.0048
orta,5,0,0.25,1250,0,0.0,0.0,0.00306
orta,5,0.25,0.5,8765,0,0.0,0.0,0.00044
orta,5,0.5,0.75,31006,0,0.0,0.0,0.00012
orta,5,0.75,1.0,34266,1,3e-05,1e-05,0.00017
orta,5,1.0,1.25,19641,0,0.0,0.0,0.0002
orta,5,1.25,1.5,9803,0,0.0,0.0,0.00039
orta,5,1.5,2.0,10805,0,0.0,0.0,0.00036
orta,5,2.0,3.0,4420,0,0.0,0.0,0.00087
orta,5,3.0,inf,44,0,0.0,0.0,0.0803
orta,8,0,0.25,31947,1,3e-05,1e-05,0.00018
orta,8,0.25,0.5,39074,0,0.0,0.0,0.0001
orta,8,0.5,0.75,16622,0,0.0,0.0,0.00023
orta,8,0.75,1.0,9786,0,0.0,0.0,0.00039
orta,8,1.0,1.25,7460,0,0.0,0.0,0.00051
orta,8,1.25,1.5,6089,0,0.0,0.0,0.00063
orta,8,1.5,2.0,7293,0,0.0,0.0,0.00053
orta,8,2.0,3.0,1726,0,0.0,0.0,0.00222
orta,8,3.0,inf,3,0,0.0,0.0,0.56151
orta,12,0,0.25,6108,0,0.0,0.0,0.00063
orta,12,0.25,0.5,23613,0,0.0,0.0,0.00016
orta,12,0.5,0.75,27694,0,0.0,0.0,0.00014
orta,12,0.75,1.0,18979,0,0.0,0.0,0.0002
orta,12,1.0,1.25,12349,0,0.0,0.0,0.00031
orta,12,1.25,1.5,8604,0,0.0,0.0,0.00045
orta,12,1.5,2.0,11535,0,0.0,0.0,0.00033
orta,12,2.0,3.0,10508,0,0.0,0.0,0.00037
orta,12,3.0,inf,609,0,0.0,0.0,0.00627
zayif,3,0.25,0.5,39,0,0.0,0.0,0.08967
zayif,3,0.5,0.75,2931,302,0.10304,0.09255,0.11457
zayif,3,0.75,1.0,24689,2340,0.09478,0.09119,0.0985
zayif,3,1.0,1.25,50881,2872,0.05645,0.05447,0.05848
zayif,3,1.25,1.5,24366,485,0.0199,0.01823,0.02174
zayif,3,1.5,2.0,9608,241,0.02508,0.02214,0.02841
zayif,3,2.0,3.0,7466,218,0.0292,0.02562,0.03327
zayif,3,3.0,inf,20,0,0.0,0.0,0.16113
zayif,5,0,0.25,13409,1180,0.088,0.08332,0.09291
zayif,5,0.25,0.5,48746,3869,0.07937,0.077,0.0818
zayif,5,0.5,0.75,33673,1034,0.03071,0.02892,0.0326
zayif,5,0.75,1.0,11500,161,0.014,0.01201,0.01632
zayif,5,1.0,1.25,5445,120,0.02204,0.01846,0.02629
zayif,5,1.25,1.5,3509,66,0.01881,0.01481,0.02386
zayif,5,1.5,2.0,3390,28,0.00826,0.00572,0.01191
zayif,5,2.0,3.0,328,0,0.0,0.0,0.01158
zayif,8,0,0.25,84795,5201,0.06134,0.05974,0.06297
zayif,8,0.25,0.5,18405,240,0.01304,0.0115,0.01478
zayif,8,0.5,0.75,8589,155,0.01805,0.01544,0.02108
zayif,8,0.75,1.0,4540,49,0.01079,0.00817,0.01424
zayif,8,1.0,1.25,1868,2,0.00107,0.00029,0.0039
zayif,8,1.25,1.5,720,0,0.0,0.0,0.00531
zayif,8,1.5,2.0,266,0,0.0,0.0,0.01424
zayif,8,2.0,3.0,6,0,0.0,0.0,0.39034
zayif,12,0,0.25,62111,618,0.00995,0.0092,0.01076
zayif,12,0.25,0.5,32041,111,0.00346,0.00288,0.00417
zayif,12,0.5,0.75,12008,72,0.006,0.00476,0.00754
zayif,12,0.75,1.0,6169,31,0.00503,0.00354,0.00712
zayif,12,1.0,1.25,1436,0,0.0,0.0,0.00267
zayif,12,1.25,1.5,468,0,0.0,0.0,0.00814
zayif,12,1.5,2.0,134,0,0.0,0.0,0.02787
zayif,12,2.0,3.0,7,0,0.0,0.0,0.35434
