variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_fast,3,iyi,acgozlu,on,3,10000,0,0.123,nan,1.492
sens_fast,3,iyi,acgozlu,on,5,10000,0,0.2629,nan,0.952
sens_fast,3,iyi,acgozlu,on,8,10000,0,0.3985,nan,0.525
sens_fast,3,iyi,acgozlu,on,12,10000,0,0.5812,nan,1.387
sens_fast,3,iyi,hic,on,3,10000,0,0.0665,nan,1.812
sens_fast,3,iyi,hic,on,5,10000,0,0.172,nan,1.577
sens_fast,3,iyi,hic,on,8,10000,0,0.3739,nan,1.474
sens_fast,3,iyi,hic,on,12,10000,0,0.6889,nan,2.324
sens_fast,3,iyi,mantikli,on,3,10000,0,0.0084,nan,1.432
sens_fast,3,iyi,mantikli,on,5,10000,0,0.3504,nan,1.051
sens_fast,3,iyi,mantikli,on,8,10000,0,0.1933,nan,0.461
sens_fast,3,iyi,mantikli,on,12,10000,0,0.6102,nan,1.614
sens_fast,3,orta,acgozlu,on,3,10000,0,0.1706,nan,1.304
sens_fast,3,orta,acgozlu,on,5,10000,0,0.2487,nan,0.735
sens_fast,3,orta,acgozlu,on,8,10000,0,0.2739,nan,0.307
sens_fast,3,orta,acgozlu,on,12,10000,0,0.4639,nan,0.604
sens_fast,3,orta,hic,on,3,10000,0,0.1631,nan,1.523
sens_fast,3,orta,hic,on,5,10000,0,0.261,nan,1.167
sens_fast,3,orta,hic,on,8,10000,0,0.4375,nan,0.948
sens_fast,3,orta,hic,on,12,10000,0,0.7225,nan,1.428
sens_fast,3,orta,mantikli,on,3,10000,0,0.0753,nan,1.377
sens_fast,3,orta,mantikli,on,5,10000,0,0.3097,nan,0.803
sens_fast,3,orta,mantikli,on,8,10000,0,0.3131,nan,0.3
sens_fast,3,orta,mantikli,on,12,10000,0,0.4703,nan,0.663
sens_fast,3,zayif,acgozlu,on,3,10000,3,0.0343,0.827,1.017
sens_fast,3,zayif,acgozlu,on,5,10000,3,0.0025,0.7959,0.404
sens_fast,3,zayif,acgozlu,on,8,10000,3,0.0903,0.0416,0.138
sens_fast,3,zayif,acgozlu,on,12,9998,1,0.3358,0.8232,0.213
