group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
P3,5,1.5,2.0,5377,0,0.0,0.0,0.00071
P3,5,2.0,3.0,59,0,0.0,0.0,0.06113
P3,8,0,0.25,37488,9910,0.26435,0.25991,0.26884
P3,8,0.25,0.5,21182,121,0.00571,0.00478,0.00682
P3,8,0.5,0.75,12166,119,0.00978,0.00818,0.01169
P3,8,0.75,1.0,6568,23,0.0035,0.00233,0.00525
P3,8,1.0,1.25,3814,0,0.0,0.0,0.00101
P3,8,1.25,1.5,3848,0,0.0,0.0,0.001
P3,8,1.5,2.0,3967,0,0.0,0.0,0.00097
P3,8,2.0,3.0,172,0,0.0,0.0,0.02185
P3,12,0,0.25,17134,2042,0.11918,0.11441,0.12412
P3,12,0.25,0.5,10355,23,0.00222,0.00148,0.00333
P3,12,0.5,0.75,12739,2,0.00016,4e-05,0.00057
P3,12,0.75,1.0,8862,1,0.00011,2e-05,0.00064
P3,12,1.0,1.25,7229,0,0.0,0.0,0.00053
P3,12,1.25,1.5,6131,0,0.0,0.0,0.00063
P3,12,1.5,2.0,8823,0,0.0,0.0,0.00044
P3,12,2.0,3.0,9412,0,0.0,0.0,0.00041
P3,12,3.0,inf,415,0,0.0,0.0,0.00917
P4,3,0.25,0.5,140,13,0.09286,0.05507,0.15239
P4,3,0.5,0.75,5294,1679,0.31715,0.30475,0.32982
P4,3,0.75,1.0,19434,8160,0.41988,0.41296,0.42684
P4,3,1.0,1.25,25500,3135,0.12294,0.11897,0.12703
P4,3,1.25,1.5,30711,76,0.00247,0.00198,0.0031
P4,3,1.5,2.0,8921,0,0.0,0.0,0.00043
P4,5,0,0.25,7702,3539,0.45949,0.44838,0.47064
P4,5,0.25,0.5,25078,8563,0.34145,0.33561,0.34735
P4,5,0.5,0.75,23336,957,0.04101,0.03854,0.04363
P4,5,0.75,1.0,20498,4,0.0002,8e-05,0.0005
P4,5,1.0,1.25,9565,0,0.0,0.0,0.0004
P4,5,1.25,1.5,3566,0,0.0,0.0,0.00108
P4,5,1.5,2.0,255,0,0.0,0.0,0.01484
P4,8,0,0.25,42708,10341,0.24213,0.23809,0.24622
P4,8,0.25,0.5,22354,131,0.00586,0.00494,0.00695
P4,8,0.5,0.75,11036,159,0.01441,0.01235,0.01681
P4,8,0.75,1.0,6060,21,0.00347,0.00227,0.00529
P4,8,1.0,1.25,4010,0,0.0,0.0,0.00096
P4,8,1.25,1.5,1313,0,0.0,0.0,0.00292
P4,8,1.5,2.0,108,0,0.0,0.0,0.03435
P4,12,0,0.25,16441,1233,0.075,0.07107,0.07912
P4,12,0.25,0.5,16571,18,0.00109,0.00069,0.00172
P4,12,0.5,0.75,14677,0,0.0,0.0,0.00026
P4,12,0.75,1.0,10503,0,0.0,0.0,0.00037
P4,12,1.0,1.25,6517,0,0.0,0.0,0.00059
P4,12,1.25,1.5,5223,0,0.0,0.0,0.00073
P4,12,1.5,2.0,6867,0,0.0,0.0,0.00056
P4,12,2.0,3.0,1382,0,0.0,0.0,0.00277
P4,12,3.0,inf,7,0,0.0,0.0,0.35434
iyi,3,0.5,0.75,3,0,0.0,0.0,0.56151
iyi,3,0.75,1.0,466,0,0.0,0.0,0.00818
iyi,3,1.0,1.25,14018,0,0.0,0.0,0.00027
iyi,3,1.25,1.5,41865,0,0.0,0.0,9e-05
iyi,3,1.5,2.0,43887,0,0.0,0.0,9e-05
iyi,3,2.0,3.0,16749,0,0.0,0.0,0.00023
iyi,3,3.0,inf,3012,0,0.0,0.0,0.00127
iyi,5,0,0.25,375,0,0.0,0.0,0.01014
iyi,5,0.25,0.5,2196,0,0.0,0.0,0.00175
iyi,5,0.5,0.75,12638,0,0.0,0.0,0.0003
iyi,5,0.75,1.0,30585,0,0.0,0.0,0.00013
iyi,5,1.0,1.25,28943,0,0.0,0.0,0.00013
iyi,5,1.25,1.5,17369,0,0.0,0.0,0.00022
iyi,5,1.5,2.0,13803,0,0.0,0.0,0.00028
iyi,5,2.0,3.0,13530,0,0.0,0.0,0.00028
iyi,5,3.0,inf,561,0,0.0,0.0,0.0068
iyi,8,0,0.25,12990,0,0.0,0.0,0.0003
iyi,8,0.25,0.5,32868,0,0.0,0.0,0.00012
iyi,8,0.5,0.75,23258,0,0.0,0.0,0.00017
iyi,8,0.75,1.0,12682,0,0.0,0.0,0.0003
iyi,8,1.0,1.25,8587,0,0.0,0.0,0.00045
iyi,8,1.25,1.5,6327,0,0.0,0.0,0.00061
iyi,8,1.5,2.0,10230,0,0.0,0.0,0.00038
iyi,8,2.0,3.0,12703,0,0.0,0.0,0.0003
iyi,8,3.0,inf,355,0,0.0,0.0,0.01071
iyi,12,0,0.25,1035,0,0.0,0.0,0.0037
iyi,12,0.25,0.5,5573,0,0.0,0.0,0.00069
iyi,12,0.5,0.75,11871,0,0.0,0.0,0.00032
iyi,12,0.75,1.0,15051,0,0.0,0.0,0.00026
iyi,12,1.0,1.25,14282,0,0.0,0.0,0.00027
iyi,12,1.25,1.5,12584,0,0.0,0.0,0.00031
iyi,12,1.5,2.0,20261,0,0.0,0.0,0.00019
iyi,12,2.0,3.0,24160,0,0.0,0.0,0.00016
iyi,12,3.0,inf,15183,0,0.0,0.0,0.00025
orta,3,0.5,0.75,48,0,0.0,0.0,0.0741
orta,3,0.75,1.0,2983,3,0.00101,0.00034,0.00295
orta,3,1.0,1.25,34484,6,0.00017,8e-05,0.00038
orta,3,1.25,1.5,47749,3,6e-05,2e-05,0.00018
orta,3,1.5,2.0,24256,0,0.0,0.0,0.00016
orta,3,2.0,3.0,9880,0,0.0,0.0,0.00039
orta,3,3.0,inf,600,0,0.0,0.0,0.00636
orta,5,0,0.25,1897,0,0.0,0.0,0.00202
orta,5,0.25,0.5,15391,10,0.00065,0.00035,0.0012
orta,5,0.5,0.75,40089,2,5e-05,1e-05,0.00018
orta,5,0.75,1.0,30003,0,0.0,0.0,0.00013
orta,5,1.0,1.25,14522,0,0.0,0.0,0.00026
orta,5,1.25,1.5,7444,0,0.0,0.0,0.00052
orta,5,1.5,2.0,7583,0,0.0,0.0,0.00051
orta,5,2.0,3.0,3051,0,0.0,0.0,0.00126
orta,5,3.0,inf,20,0,0.0,0.0,0.16113
orta,8,0,0.25,39859,7,0.00018,9e-05,0.00036
orta,8,0.25,0.5,39000,0,0.0,0.0,0.0001
orta,8,0.5,0.75,15044,4,0.00027,0.0001,0.00068
orta,8,0.75,1.0,9380,0,0.0,0.0,0.00041
orta,8,1.0,1.25,6959,0,0.0,0.0,0.00055
orta,8,1.25,1.5,4836,0,0.0,0.0,0.00079
orta,8,1.5,2.0,4145,0,0.0,0.0,0.00093
orta,8,2.0,3.0,774,0,0.0,0.0,0.00494
orta,8,3.0,inf,2,0,0.0,0.0,0.65763
orta,12,0,0.25,11539,3,0.00026,9e-05,0.00076
orta,12,0.25,0.5,35084,0,0.0,0.0,0.00011
orta,12,0.5,0.75,29037,0,0.0,0.0,0.00013
orta,12,0.75,1.0,15503,0,0.0,0.0,0.00025
orta,12,1.0,1.25,9086,0,0.0,0.0,0.00042
orta,12,1.25,1.5,7132,0,0.0,0.0,0.00054
orta,12,1.5,2.0,9137,0,0.0,0.0,0.00042
orta,12,2.0,3.0,3441,0,0.0,0.0,0.00112
orta,12,3.0,inf,32,0,0.0,0.0,0.10718
zayif,3,0.25,0.5,201,19,0.09453,0.06135,0.14291
zayif,3,0.5,0.75,7851,2131,0.27143,0.26171,0.28138
zayif,3,0.75,1.0,38526,12876,0.33422,0.32952,0.33894
zayif,3,1.0,1.25,46158,11291,0.24462,0.24072,0.24856
zayif,3,1.25,1.5,14710,1917,0.13032,0.12498,0.13586
zayif,3,1.5,2.0,6702,1345,0.20069,0.19127,0.21045
zayif,3,2.0,3.0,5852,849,0.14508,0.13629,0.15433
zayif,5,0,0.25,24646,7207,0.29242,0.28677,0.29813
zayif,5,0.25,0.5,59006,17488,0.29638,0.29271,0.30007
zayif,5,0.5,0.75,22120,3873,0.17509,0.17014,0.18016
zayif,5,0.75,1.0,6323,887,0.14028,0.13194,0.14906
zayif,5,1.0,1.25,3746,621,0.16578,0.15421,0.17803
zayif,5,1.25,1.5,2756,276,0.10015,0.08949,0.11192
zayif,5,1.5,2.0,1380,76,0.05507,0.04422,0.06839
zayif,5,2.0,3.0,23,0,0.0,0.0,0.14312
zayif,8,0,0.25,92607,24594,0.26557,0.26274,0.26843
zayif,8,0.25,0.5,11253,1380,0.12263,0.1167,0.12882
zayif,8,0.5,0.75,8802,994,0.11293,0.10648,0.11971
zayif,8,0.75,1.0,3448,215,0.06235,0.05476,0.07092
zayif,8,1.0,1.25,541,5,0.00924,0.00395,0.02145
zayif,8,1.25,1.5,96,0,0.0,0.0,0.03848
zayif,8,1.5,2.0,13,0,0.0,0.0,0.2281
zayif,12,0,0.25,62354,6346,0.10177,0.09943,0.10417
zayif,12,0.25,0.5,13520,624,0.04615,0.04274,0.04982
zayif,12,0.5,0.75,14906,409,0.02744,0.02494,0.03019
zayif,12,0.75,1.0,6111,72,0.01178,0.00937,0.01481
zayif,12,1.0,1.25,115,0,0.0,0.0,0.03233
zayif,12,1.25,1.5,17,0,0.0,0.0,0.18432
