variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
ev,3,zayif,acgozlu_noeb,5000,0.4722,0.5278,0,154,1853,632,0,0,549,4651,0.0,0.0,0.5278,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.7,6.99,random
ev,3,orta,hic,5000,1.0,0.0,0,0,0,0,3272,4386,5548,9849,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1378,2608,4678,12015,0.994,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,1505,2969,5078,12488,0.975,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1512,2904,5082,12435,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6470,7850,9281,12914,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,7260,10544,13556,20403,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7758,10890,13867,20833,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,8159,11263,14307,20962,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,zayif,hic,5000,0.4574,0.5426,0,310,1995,408,0,0,1007,6170,0.0,0.0,0.5426,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.43,6.99,random
ev,4,zayif,acgozlu,5000,0.8998,0.1002,0,61,331,109,0,774,1621,7507,0.913,0.601,0.2007,1993,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.73,6.99,random
ev,4,zayif,mantikli,5000,0.6958,0.3042,0,214,1098,209,0,502,1314,6884,0.639,0.37,0.4638,3150,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.08,6.99,random
ev,4,zayif,acgozlu_noeb,5000,0.418,0.582,0,321,2152,437,0,0,814,6116,0.0,0.0,0.582,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.32,6.99,random
ev,4,orta,hic,5000,1.0,0.0,0,0,0,0,3151,4505,5897,12411,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1430,2647,4729,14331,0.987,0.0,0.0,4998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,orta,mantikli,5000,1.0,0.0,0,0,0,0,1495,2941,5356,14891,0.961,0.001,0.0,4997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1534,2861,5388,14823,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,iyi,hic,5000,1.0,0.0,0,0,0,0,7009,8616,10216,16118,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,6364,9933,13551,22926,0.998,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,iyi,mantikli,5000,1.0,0.0,0,0,0,0,6838,10404,14000,23500,0.997,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,4,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6799,10671,14421,23488,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
