variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
kart,3,zayif,acgozlu_noeb,5000,0.8026,0.1974,0,63,642,282,0,346,647,5158,0.0,0.0,0.1974,5000,0.063,0.843,0.168,0.071,0.088,0.053,23,0.3,0.735,0.01,5.56,3.43,random
kart,3,orta,hic,5000,1.0,0.0,0,0,0,0,3246,4390,5570,9902,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
kart,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1769,3193,5209,12006,0.499,0.0,0.0,4999,0.728,0.497,0.791,0.729,0.738,0.697,334,4.1,0.005,0.41,5.87,3.82,random
kart,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,1953,3536,5597,12418,0.472,0.0,0.0,5000,0.76,0.511,0.765,0.749,0.736,0.66,386,4.7,0.004,0.36,5.87,3.77,random
kart,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1874,3324,5298,12189,0.0,0.0,0.0,5000,0.773,0.933,0.818,0.77,0.785,0.721,378,4.4,0.007,0.43,5.87,3.84,random
kart,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6442,7785,9158,12903,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
kart,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,6719,9815,13117,19700,0.512,0.0,0.0,5000,0.952,0.487,0.958,0.952,0.948,0.922,697,7.5,0.0,0.7,5.87,4.11,random
kart,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7386,10384,13591,20328,0.502,0.0,0.0,5000,0.952,0.495,0.948,0.952,0.952,0.915,723,8.4,0.0,0.66,5.87,4.08,random
kart,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6922,10104,13377,20130,0.0,0.0,0.0,5000,0.974,0.923,0.971,0.973,0.971,0.952,739,8.4,0.0,0.74,5.87,4.16,random
kart,4,zayif,hic,5000,0.3662,0.6338,0,584,2283,302,0,0,1016,5628,0.0,0.0,0.6338,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.48,3.42,random
