{'card': 'cooler', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.728, 'buy_day_mean': 4.37, 'cost_mean': 145, 'd_final_money': 17, 'd_income_gross': -17, 'gain_per_active_day': -1.5, 'payback_days': '', 'lose_with': 0.448, 'lose_without': 0.4267}
{'card': 'cooler', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.18, 'cost_mean': 141, 'd_final_money': 167, 'd_income_gross': 307, 'gain_per_active_day': 24.0, 'payback_days': 5.89, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'cooler', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.517, 'buy_day_mean': 5.62, 'cost_mean': 174, 'd_final_money': 12, 'd_income_gross': -40, 'gain_per_active_day': -3.9, 'payback_days': '', 'lose_with': 0.5653, 'lose_without': 0.5427}
{'card': 'cooler', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.46, 'cost_mean': 169, 'd_final_money': 210, 'd_income_gross': 373, 'gain_per_active_day': 29.8, 'payback_days': 5.7, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'morning_shift', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 181, 'd_income_gross': 400, 'gain_per_active_day': 26.7, 'payback_days': 2.88, 'lose_with': 0.0493, 'lose_without': 0.1753}
{'card': 'morning_shift', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 399, 'd_income_gross': 507, 'gain_per_active_day': 33.8, 'payback_days': 2.28, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'morning_shift', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.94, 'buy_day_mean': 3.5, 'cost_mean': 123, 'd_final_money': 114, 'd_income_gross': 349, 'gain_per_active_day': 28.0, 'payback_days': 4.42, 'lose_with': 0.1233, 'lose_without': 0.1893}
{'card': 'morning_shift', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.43, 'cost_mean': 122, 'd_final_money': 303, 'd_income_gross': 450, 'gain_per_active_day': 33.2, 'payback_days': 3.68, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'morning_shift', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.689, 'buy_day_mean': 4.43, 'cost_mean': 166, 'd_final_money': 25, 'd_income_gross': 230, 'gain_per_active_day': 19.9, 'payback_days': 8.36, 'lose_with': 0.3933, 'lose_without': 0.4267}
{'card': 'morning_shift', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.23, 'cost_mean': 161, 'd_final_money': 317, 'd_income_gross': 501, 'gain_per_active_day': 39.3, 'payback_days': 4.12, 'lose_with': 0.0, 'lose_without': 0.0}
