variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket,3,zayif,acgozlu_noeb,5000,0.9138,0.0862,0,0,175,256,26,425,701,5523,0.0,0.0,0.0862,5000,0.0,1.0,0.515,0.001,0.091,0.018,0,0.0,0.907,0.03,11.89,7.02,fixed
paket,3,orta,hic,5000,1.0,0.0,0,0,0,0,3272,4386,5548,9849,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,2194,3994,6693,13356,0.0,0.0,0.0,5000,0.696,1.0,0.9,0.843,0.78,0.893,290,5.9,0.007,1.61,12.0,8.6,fixed
paket,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,2756,4578,7264,14039,0.0,0.0,0.0,5000,0.786,1.0,0.75,0.932,0.803,0.862,466,9.1,0.002,1.42,12.0,8.4,fixed
paket,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,2101,3866,5992,13047,0.0,0.0,0.0,5000,0.654,1.0,0.987,0.805,0.926,0.856,221,2.7,0.006,1.12,12.0,8.1,fixed
paket,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6470,7850,9281,12914,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,9522,12479,15205,22438,0.0,0.0,0.0,5000,0.967,1.0,0.996,0.966,0.792,0.962,613,11.1,0.0,2.1,12.0,9.09,fixed
paket,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,10011,12855,15622,22959,0.0,0.0,0.0,5000,0.968,1.0,0.987,0.989,0.837,0.893,569,13.4,0.0,1.63,12.0,8.62,fixed
paket,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,8802,12121,15119,22325,0.0,0.0,0.0,5000,0.952,0.991,0.984,0.926,0.995,0.931,602,9.0,0.0,1.02,12.0,8.01,fixed
paket,4,zayif,hic,5000,0.4574,0.5426,0,310,1995,408,0,0,1007,6170,0.0,0.0,0.5426,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.43,6.99,fixed
paket,4,zayif,acgozlu,5000,0.8774,0.1226,0,0,366,247,0,632,1052,7543,0.0,0.0,0.1226,5000,0.159,1.0,0.021,0.003,0.006,0.155,125,0.0,0.928,0.16,11.78,7.14,fixed
paket,4,zayif,mantikli,5000,0.877,0.123,0,12,359,244,0,618,1020,7544,0.0,0.0,0.123,5000,0.168,0.997,0.007,0.022,0.009,0.168,132,0.2,0.922,0.18,11.77,7.16,fixed
paket,4,zayif,acgozlu_noeb,5000,0.8778,0.1222,0,0,368,243,0,633,1048,7639,0.0,0.0,0.1222,5000,0.0,1.0,0.31,0.0,0.018,0.017,0,0.0,0.95,0.01,11.78,7.0,fixed
paket,4,orta,hic,5000,1.0,0.0,0,0,0,0,3151,4505,5897,12411,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,4,orta,acgozlu,5000,1.0,0.0,0,0,0,0,2046,3966,6574,15560,0.0,0.0,0.0,5000,0.654,1.0,0.703,0.669,0.616,0.748,448,3.4,0.017,1.28,12.0,8.26,fixed
paket,4,orta,mantikli,5000,1.0,0.0,0,0,0,0,2424,4619,7548,16322,0.0,0.0,0.0,5000,0.804,1.0,0.518,0.76,0.641,0.717,681,6.1,0.009,1.11,12.0,8.1,fixed
paket,4,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1866,3591,6438,15435,0.0,0.0,0.0,5000,0.4,1.0,0.98,0.629,0.745,0.801,122,1.4,0.02,1.21,12.0,8.2,fixed
paket,4,iyi,hic,5000,1.0,0.0,0,0,0,0,7009,8616,10216,16118,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,4,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,7724,12348,16046,25075,0.0,0.0,0.0,5000,0.874,1.0,0.929,0.906,0.74,0.98,613,8.6,0.0,2.08,12.0,9.07,fixed
paket,4,iyi,mantikli,5000,1.0,0.0,0,0,0,0,8627,12983,16551,25731,0.0,0.0,0.0,5000,0.917,1.0,0.866,0.98,0.825,0.946,788,11.0,0.0,1.83,12.0,8.81,fixed
paket,4,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,7642,11370,15419,24361,0.0,0.0,0.0,5000,0.91,1.0,1.0,0.827,0.949,0.835,719,4.4,0.0,0.93,12.0,7.92,fixed
